t (Gyr) =   0.0005
M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0        F33        F33B         F41        F45B         F47         F51         FHa         F57        F63B         F67         F75         F78         F82        F82B         F89       G_RSV           G        G_BP        G_RP
 0.100  3010.   -2.54  4.84  0.198    0.000  16.912  16.912  16.176  15.273  15.035  14.643  13.049  14.181  13.425  12.817  11.168  11.203  10.612  10.783  10.217  10.472  12.423  14.545  11.039  
 0.110  3052.   -2.47  4.84  0.208    0.000  16.538  16.538  15.667  14.837  14.627  14.207  12.716  13.773  13.084  12.508  10.948  10.964  10.417  10.579  10.043  10.269  12.188  14.142  10.836  
 0.130  3120.   -2.36  4.84  0.227    0.000  15.948  15.948  14.930  14.186  14.006  13.558  12.186  13.145  12.544  12.013  10.582  10.571  10.087  10.236   9.744   9.929  11.799  13.524  10.494  
 0.150  3173.   -2.26  4.84  0.245    0.000  15.540  15.540  14.548  13.806  13.622  13.182  11.811  12.741  12.169  11.656  10.298  10.273   9.823   9.964   9.496   9.662  11.500  13.132  10.221  
 0.170  3217.   -2.18  4.83  0.261    0.000  15.200  15.200  14.229  13.487  13.299  12.866  11.499  12.405  11.856  11.357  10.057  10.020   9.596   9.732   9.282   9.434  11.245  12.804   9.987  
 0.200  3275.   -2.08  4.83  0.285    0.000  14.781  14.781  13.830  13.086  12.891  12.470  11.112  11.988  11.467  10.984   9.749   9.702   9.306   9.436   9.008   9.144  10.920  12.397   9.688  
 0.300  3406.   -1.82  4.81  0.355    0.000  13.833  13.833  12.922  12.170  11.962  11.560  10.214  11.027  10.558  10.110   9.027   8.955   8.621   8.737   8.354   8.461  10.150  11.458   8.979  
 0.400  3522.   -1.61  4.79  0.421    0.000  13.101  13.101  12.212  11.445  11.224  10.840   9.509  10.271   9.841   9.420   8.456   8.370   8.080   8.185   7.837   7.924   9.534  10.718   8.415  
 0.500  3668.   -1.40  4.75  0.496    0.000  12.330  12.330  11.455  10.660  10.417  10.060   8.751   9.448   9.063   8.675   7.856   7.755   7.516   7.608   7.300   7.368   8.869   9.915   7.819  
 0.600  4039.   -1.09  4.68  0.583    0.000  11.078  11.078  10.261   9.446   9.158   8.898   7.587   8.185   7.863   7.525   7.007   6.888   6.734   6.804   6.569   6.610   7.864   8.675   6.960  
 0.700  4497.   -0.83  4.68  0.636    0.000   9.552   9.552   8.981   8.294   8.008   7.837   6.599   7.143   6.863   6.564   6.281   6.175   6.073   6.125   5.950   5.974   6.978   7.594   6.223  
 0.800  4830.   -0.61  4.64  0.705    0.005   8.349   8.349   7.994   7.426   7.186   6.992   5.962   6.432   6.196   5.937   5.705   5.615   5.530   5.574   5.429   5.443   6.326   6.838   5.657  
 0.900  5212.   -0.37  4.59  0.799    0.082   7.143   7.143   7.004   6.549   6.364   6.139   5.305   5.707   5.511   5.286   5.089   5.011   4.938   4.978   4.863   4.866   5.640   6.065   5.052  
 1.000  5533.   -0.17  4.53  0.901    0.307   6.224   6.224   6.233   5.861   5.713   5.488   4.770   5.128   4.955   4.755   4.580   4.511   4.443   4.482   4.389   4.384   5.080   5.448   4.549  
 1.100  5876.    0.05  4.46  1.019    0.574   5.376   5.376   5.491   5.192   5.074   4.865   4.242   4.559   4.408   4.229   4.074   4.014   3.952   3.990   3.917   3.905   4.526   4.842   4.050  
 1.200  6164.    0.24  4.39  1.152    0.770   4.703   4.703   4.868   4.622   4.525   4.338   3.784   4.068   3.933   3.771   3.632   3.578   3.523   3.558   3.501   3.482   4.043   4.320   3.613  
 1.300  6451.    0.41  4.33  1.283    0.880   4.135   4.135   4.309   4.108   4.028   3.863   3.373   3.624   3.506   3.361   3.237   3.190   3.140   3.174   3.131   3.106   3.608   3.848   3.224  
 1.400  6766.    0.56  4.30  1.391    0.938   3.655   3.655   3.814   3.649   3.583   3.441   3.020   3.235   3.134   3.008   2.901   2.861   2.820   2.849   2.819   2.792   3.227   3.430   2.892  
----------------------------------------------------------------------------------------------------------------------------------------
t (Gyr) =   0.1000
M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0        F33        F33B         F41        F45B         F47         F51         FHa         F57        F63B         F67         F75         F78         F82        F82B         F89       G_RSV           G        G_BP        G_RP
 0.020  1404.   -4.27  4.55  0.125    1.000  28.304  28.304  26.486  24.800  24.197  24.586  20.375  24.383  20.785  19.850  19.582  19.172  17.354  17.407  16.061  16.468  18.966  23.760  17.307  
 0.030  1912.   -3.74  4.73  0.124    1.000  27.278  27.278  25.496  23.377  23.272  22.204  18.651  21.115  19.173  18.333  17.355  17.087  16.002  16.137  14.928  15.663  17.644  21.165  16.027  
 0.040  2311.   -3.36  4.81  0.130    1.000  22.357  22.357  23.173  21.246  20.977  20.323  17.282  19.324  17.723  16.887  15.176  15.157  13.829  14.078  12.919  13.808  15.695  19.572  14.073  
 0.050  2525.   -3.15  4.85  0.139    0.999  21.765  21.765  21.190  19.429  19.133  18.592  16.323  18.035  16.705  15.898  13.855  13.979  12.848  13.103  12.143  12.827  14.791  18.340  13.222  
 0.060  2670.   -3.00  4.88  0.148    0.953  20.061  20.061  19.457  17.969  17.718  17.137  15.407  16.863  15.757  15.008  12.964  13.115  12.185  12.409  11.598  12.114  14.112  17.167  12.597  
 0.070  2794.   -2.87  4.89  0.158    0.587  18.779  18.779  18.098  16.853  16.624  16.062  14.490  15.773  14.844  14.159  12.282  12.399  11.645  11.837  11.147  11.528  13.524  16.108  12.066  
 0.072  2813.   -2.84  4.89  0.160    0.447  18.626  18.626  17.942  16.736  16.502  15.966  14.369  15.642  14.727  14.048  12.194  12.302  11.565  11.756  11.078  11.444  13.440  15.983  11.988  
 0.075  2839.   -2.81  4.89  0.162    0.233  18.449  18.449  17.767  16.608  16.364  15.868  14.227  15.491  14.592  13.919  12.089  12.183  11.464  11.653  10.989  11.340  13.335  15.840  11.889  
 0.080  2879.   -2.76  4.89  0.167    0.028  18.174  18.174  17.495  16.409  16.151  15.717  14.004  15.257  14.380  13.717  11.922  11.997  11.303  11.492  10.849  11.177  13.170  15.618  11.734  
 0.090  2942.   -2.68  4.90  0.176    0.000  17.674  17.674  16.990  15.985  15.722  15.337  13.617  14.830  14.000  13.358  11.627  11.680  11.031  11.214  10.606  10.898  12.879  15.199  11.464  
 0.100  2993.   -2.61  4.90  0.185    0.000  17.238  17.238  16.547  15.592  15.332  14.966  13.285  14.456  13.670  13.047  11.372  11.410  10.801  10.977  10.399  10.662  12.629  14.828  11.232  
 0.110  3038.   -2.54  4.91  0.194    0.000  16.835  16.835  16.012  15.133  14.901  14.506  12.943  14.034  13.319  12.731  11.144  11.163  10.601  10.767  10.221  10.453  12.387  14.408  11.024  
 0.130  3112.   -2.43  4.90  0.211    0.000  16.179  16.179  15.152  14.386  14.199  13.753  12.371  13.336  12.733  12.200  10.759  10.749  10.260  10.410   9.915  10.101  11.977  13.718  10.668  
 0.150  3167.   -2.33  4.90  0.227    0.000  15.755  15.755  14.757  13.996  13.805  13.366  11.985  12.919  12.347  11.833  10.471  10.445   9.991  10.134   9.664   9.830  11.672  13.313  10.391  
 0.170  3214.   -2.25  4.90  0.243    0.000  15.400  15.400  14.425  13.665  13.472  13.039  11.661  12.570  12.022  11.524  10.224  10.186   9.761   9.897   9.447   9.597  11.411  12.974  10.152  
 0.200  3272.   -2.14  4.89  0.265    0.000  14.973  14.973  14.020  13.259  13.059  12.638  11.270  12.148  11.627  11.146   9.914   9.864   9.469   9.599   9.171   9.306  11.083  12.561   9.851  
 0.300  3409.   -1.87  4.87  0.333    0.000  13.971  13.971  13.063  12.300  12.088  11.687  10.332  11.145  10.679  10.233   9.159   9.085   8.754   8.869   8.488   8.593  10.279  11.580   9.110  
 0.400  3529.   -1.65  4.84  0.399    0.000  13.193  13.193  12.309  11.534  11.309  10.927   9.591  10.351   9.924   9.506   8.555   8.466   8.181   8.285   7.940   8.025   9.627  10.801   8.513  
 0.500  3705.   -1.41  4.77  0.480    0.000  12.299  12.299  11.432  10.627  10.378  10.027   8.718   9.402   9.027   8.647   7.868   7.762   7.536   7.625   7.327   7.390   8.863   9.874   7.831  
 0.600  4100.   -1.09  4.71  0.564    0.000  10.986  10.986  10.206   9.435   9.135   8.934   7.530   8.146   7.814   7.471   7.002   6.878   6.735   6.802   6.577   6.614   7.840   8.640   6.948  
 0.700  4402.   -0.88  4.69  0.624    0.000   9.893   9.893   9.256   8.537   8.239   8.071   6.779   7.341   7.048   6.739   6.426   6.316   6.207   6.262   6.076   6.104   7.152   7.805   6.368  
 0.800  4826.   -0.61  4.64  0.707    0.005   8.353   8.353   7.996   7.426   7.186   6.993   5.960   6.431   6.195   5.935   5.703   5.612   5.527   5.571   5.427   5.440   6.324   6.837   5.655  
 0.900  5209.   -0.37  4.58  0.801    0.082   7.144   7.144   7.004   6.548   6.363   6.138   5.303   5.705   5.509   5.284   5.087   5.008   4.935   4.975   4.860   4.863   5.638   6.064   5.049  
 1.000  5541.   -0.16  4.53  0.903    0.307   6.205   6.205   6.218   5.847   5.700   5.474   4.759   5.117   4.944   4.744   4.569   4.501   4.433   4.472   4.379   4.375   5.069   5.435   4.539  
 1.100  5886.    0.05  4.46  1.020    0.574   5.358   5.358   5.475   5.178   5.061   4.853   4.232   4.547   4.398   4.219   4.064   4.005   3.943   3.981   3.909   3.897   4.515   4.830   4.041  
 1.200  6170.    0.24  4.39  1.153    0.770   4.693   4.693   4.859   4.614   4.518   4.331   3.778   4.061   3.927   3.765   3.626   3.573   3.517   3.553   3.496   3.477   4.037   4.313   3.608  
 1.300  6453.    0.41  4.33  1.284    0.880   4.131   4.131   4.306   4.105   4.026   3.860   3.370   3.622   3.503   3.358   3.235   3.188   3.138   3.172   3.129   3.104   3.606   3.846   3.221  
 1.400  6766.    0.56  4.30  1.393    0.938   3.653   3.653   3.811   3.646   3.581   3.439   3.017   3.232   3.131   3.005   2.899   2.858   2.817   2.846   2.817   2.790   3.225   3.428   2.890  
----------------------------------------------------------------------------------------------------------------------------------------
t (Gyr) =   0.1200
M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0        F33        F33B         F41        F45B         F47         F51         FHa         F57        F63B         F67         F75         F78         F82        F82B         F89       G_RSV           G        G_BP        G_RP
 0.020  1304.   -4.41  4.56  0.122    1.000  28.689  28.689  26.890  25.263  24.543  25.427  21.400  25.438  21.713  20.768  20.510  19.928  17.926  17.821  16.339  16.810  19.361  24.688  17.661  
 0.030  1779.   -3.88  4.75  0.120    1.000  27.486  27.486  25.673  23.591  23.475  22.439  18.848  21.489  19.382  18.530  17.647  17.414  16.431  16.577  15.505  15.989  18.121  21.449  16.550  
 0.040  2225.   -3.46  4.84  0.125    1.000  25.455  25.455  24.639  22.521  22.333  21.443  17.911  20.074  18.366  17.521  15.985  15.831  14.494  14.715  13.483  14.401  16.292  20.315  14.651  
 0.050  2471.   -3.23  4.89  0.133    0.997  22.619  22.619  21.957  20.034  19.731  19.168  16.653  18.464  17.061  16.245  14.275  14.364  13.159  13.422  12.406  13.141  15.095  18.764  13.510  
 0.060  2635.   -3.06  4.92  0.141    0.901  20.644  20.644  20.069  18.514  18.224  17.714  15.728  17.281  16.089  15.317  13.258  13.407  12.417  12.651  11.798  12.355  14.355  17.599  12.822  
 0.070  2757.   -2.94  4.93  0.149    0.244  19.283  19.283  18.624  17.235  17.003  16.398  14.852  16.173  15.207  14.506  12.566  12.694  11.882  12.087  11.361  11.779  13.781  16.494  12.305  
 0.072  2780.   -2.91  4.94  0.151    0.111  19.046  19.046  18.374  17.041  16.809  16.220  14.675  15.968  15.033  14.344  12.442  12.560  11.782  11.981  11.278  11.670  13.670  16.298  12.205  
 0.075  2810.   -2.88  4.94  0.154    0.017  18.765  18.765  18.082  16.821  16.584  16.029  14.460  15.728  14.823  14.147  12.288  12.393  11.651  11.845  11.167  11.530  13.529  16.069  12.077  
 0.080  2853.   -2.83  4.94  0.158    0.000  18.484  18.484  17.807  16.636  16.379  15.907  14.228  15.491  14.602  13.934  12.115  12.199  11.485  11.677  11.020  11.360  13.358  15.849  11.915  
 0.090  2924.   -2.74  4.95  0.167    0.000  17.970  17.970  17.297  16.251  15.974  15.602  13.818  15.058  14.206  13.554  11.805  11.861  11.196  11.382  10.763  11.063  13.054  15.435  11.630  
 0.100  2978.   -2.67  4.95  0.175    0.000  17.512  17.512  16.832  15.841  15.566  15.214  13.474  14.670  13.863  13.232  11.542  11.581  10.959  11.138  10.550  10.819  12.795  15.048  11.391  
 0.110  3026.   -2.60  4.95  0.183    0.000  17.087  17.087  16.313  15.392  15.139  14.769  13.133  14.258  13.516  12.916  11.303  11.326  10.748  10.918  10.363  10.602  12.550  14.637  11.175  
 0.130  3105.   -2.48  4.95  0.199    0.000  16.366  16.366  15.331  14.548  14.356  13.910  12.521  13.492  12.885  12.350  10.900  10.891  10.397  10.548  10.050  10.237  12.120  13.874  10.807  
 0.150  3162.   -2.38  4.95  0.215    0.000  15.928  15.928  14.925  14.147  13.952  13.513  12.125  13.063  12.489  11.974  10.607  10.581  10.125  10.268   9.796   9.962  11.809  13.459  10.525  
 0.170  3210.   -2.30  4.95  0.229    0.000  15.559  15.559  14.581  13.807  13.608  13.177  11.791  12.702  12.154  11.656  10.355  10.316   9.890  10.027   9.577   9.726  11.542  13.108  10.283  
 0.200  3270.   -2.19  4.94  0.251    0.000  15.109  15.109  14.154  13.382  13.177  12.758  11.381  12.261  11.741  11.260  10.030   9.979   9.584   9.715   9.287   9.421  11.199  12.677   9.967  
 0.300  3411.   -1.91  4.91  0.318    0.000  14.071  14.071  13.166  12.395  12.180  11.779  10.418  11.231  10.766  10.322   9.256   9.180   8.852   8.966   8.587   8.690  10.373  11.669   9.206  
 0.400  3536.   -1.68  4.87  0.384    0.000  13.254  13.254  12.374  11.593  11.366  10.985   9.645  10.403   9.979   9.563   8.623   8.532   8.250   8.354   8.011   8.094   9.691  10.856   8.581  
 0.500  3727.   -1.42  4.79  0.471    0.000  12.285  12.285  11.423  10.613  10.362  10.014   8.705   9.382   9.012   8.635   7.878   7.771   7.551   7.638   7.345   7.406   8.862   9.857   7.840  
 0.600  4030.   -1.15  4.74  0.546    0.000  11.231  11.231  10.419   9.598   9.312   9.041   7.737   8.336   8.014   7.677   7.156   7.037   6.883   6.952   6.717   6.757   8.014   8.826   7.109  
 0.700  4400.   -0.88  4.69  0.626    0.000   9.892   9.892   9.253   8.533   8.235   8.066   6.774   7.337   7.043   6.734   6.421   6.310   6.201   6.256   6.070   6.098   7.147   7.800   6.363  
 0.800  4825.   -0.61  4.64  0.708    0.005   8.352   8.352   7.995   7.425   7.185   6.991   5.958   6.429   6.192   5.932   5.701   5.610   5.525   5.569   5.424   5.437   6.322   6.835   5.652  
 0.900  5208.   -0.37  4.58  0.801    0.082   7.144   7.144   7.003   6.547   6.362   6.137   5.302   5.704   5.507   5.283   5.085   5.007   4.934   4.974   4.858   4.861   5.636   6.063   5.048  
 1.000  5547.   -0.16  4.53  0.904    0.307   6.191   6.191   6.206   5.837   5.690   5.465   4.752   5.108   4.936   4.736   4.562   4.494   4.426   4.465   4.373   4.368   5.061   5.427   4.532  
 1.100  5889.    0.05  4.46  1.021    0.574   5.351   5.351   5.469   5.173   5.056   4.848   4.228   4.543   4.393   4.215   4.060   4.001   3.939   3.977   3.905   3.893   4.510   4.825   4.037  
 1.200  6172.    0.24  4.39  1.154    0.770   4.689   4.689   4.855   4.611   4.514   4.327   3.775   4.058   3.924   3.762   3.623   3.570   3.515   3.550   3.493   3.474   4.034   4.309   3.605  
 1.300  6455.    0.41  4.33  1.286    0.880   4.125   4.125   4.300   4.099   4.020   3.855   3.366   3.616   3.498   3.354   3.230   3.183   3.134   3.167   3.124   3.100   3.601   3.840   3.217  
 1.400  6767.    0.56  4.29  1.394    0.938   3.650   3.650   3.808   3.643   3.578   3.435   3.014   3.229   3.128   3.002   2.896   2.855   2.814   2.843   2.814   2.787   3.222   3.425   2.887  
----------------------------------------------------------------------------------------------------------------------------------------
t (Gyr) =   0.2000
M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0        F33        F33B         F41        F45B         F47         F51         FHa         F57        F63B         F67         F75         F78         F82        F82B         F89       G_RSV           G        G_BP        G_RP
 0.030  1480.   -4.25  4.80  0.114    1.000  28.140  28.140  26.313  24.492  24.095  23.845  19.863  23.573  20.343  19.424  18.935  18.672  17.206  17.331  16.157  16.474  18.899  23.021  17.292  
 0.040  1940.   -3.78  4.93  0.114    1.000  27.324  27.324  25.542  23.470  23.325  22.349  18.703  21.358  19.246  18.389  17.452  17.214  16.090  16.228  15.026  15.712  17.736  21.298  16.121  
 0.050  2268.   -3.48  5.00  0.118    0.986  23.179  23.179  24.032  22.083  21.864  21.079  17.738  19.873  18.228  17.392  15.846  15.714  14.364  14.612  13.428  14.279  16.207  20.102  14.577  
 0.060  2488.   -3.28  5.03  0.123    0.466  22.840  22.840  22.152  20.165  19.839  19.314  16.712  18.544  17.143  16.327  14.376  14.458  13.245  13.515  12.510  13.207  15.191  18.854  13.608  
 0.070  2639.   -3.14  5.06  0.129    0.000  21.052  21.052  20.452  18.777  18.472  17.960  15.898  17.477  16.279  15.505  13.467  13.606  12.595  12.836  11.978  12.521  14.540  17.803  13.004  
 0.072  2664.   -3.11  5.06  0.131    0.000  20.763  20.763  20.150  18.492  18.206  17.649  15.738  17.262  16.108  15.347  13.317  13.464  12.490  12.722  11.889  12.407  14.427  17.582  12.901  
 0.075  2698.   -3.08  5.07  0.132    0.000  20.375  20.375  19.745  18.109  17.849  17.233  15.520  16.972  15.876  15.131  13.112  13.272  12.348  12.568  11.767  12.253  14.272  17.284  12.761  
 0.080  2756.   -3.02  5.08  0.136    0.000  19.733  19.733  19.071  17.578  17.322  16.734  15.081  16.443  15.448  14.740  12.803  12.931  12.095  12.304  11.567  11.982  14.000  16.774  12.518  
 0.090  2853.   -2.91  5.08  0.143    0.000  18.885  18.885  18.211  16.951  16.671  16.216  14.453  15.747  14.844  14.170  12.349  12.428  11.697  11.895  11.233  11.567  13.581  16.114  12.132  
 0.100  2926.   -2.83  5.08  0.151    0.000  18.346  18.346  17.679  16.555  16.253  15.904  14.032  15.303  14.435  13.778  12.031  12.082  11.406  11.597  10.974  11.268  13.272  15.690  11.844  
 0.110  2982.   -2.75  5.08  0.158    0.000  17.861  17.861  17.192  16.125  15.826  15.497  13.679  14.903  14.083  13.447  11.760  11.795  11.165  11.348  10.759  11.021  13.009  15.291  11.601  
 0.130  3076.   -2.62  5.07  0.173    0.000  16.952  16.952  15.994  15.111  14.881  14.470  12.963  13.997  13.342  12.784  11.281  11.280  10.754  10.913  10.394  10.595  12.507  14.387  11.171  
 0.150  3144.   -2.51  5.07  0.188    0.000  16.370  16.370  15.346  14.524  14.315  13.880  12.469  13.422  12.840  12.320  10.935  10.911  10.443  10.590  10.110  10.278  12.139  13.821  10.847  
 0.170  3198.   -2.41  5.05  0.203    0.000  15.927  15.927  14.935  14.127  13.917  13.488  12.080  13.000  12.449  11.950  10.644  10.603  10.174  10.312   9.858  10.006  11.831  13.413  10.567  
 0.200  3264.   -2.28  5.03  0.226    0.000  15.402  15.402  14.441  13.642  13.429  13.011  11.616  12.501  11.981  11.500  10.274  10.220   9.826   9.956   9.527   9.660  11.441  12.923  10.208  
 0.300  3414.   -1.98  4.98  0.294    0.000  14.236  14.236  13.334  12.550  12.331  11.931  10.559  11.372  10.910  10.468   9.415   9.335   9.010   9.124   8.747   8.847  10.526  11.815   9.363  
 0.400  3537.   -1.73  4.92  0.365    0.000  13.364  13.364  12.487  11.700  11.470  11.090   9.744  10.502  10.080   9.665   8.731   8.639   8.360   8.463   8.121   8.203   9.796  10.957   8.689  
 0.500  3701.   -1.46  4.82  0.453    0.000  12.425  12.425  11.564  10.756  10.507  10.155   8.840   9.527   9.151   8.771   7.994   7.888   7.662   7.751   7.453   7.516   8.988  10.000   7.956  
 0.600  3981.   -1.17  4.74  0.547    0.000  11.352  11.352  10.521   9.680   9.402   9.097   7.834   8.430   8.110   7.773   7.214   7.098   6.936   7.007   6.764   6.807   8.089   8.918   7.172  
 0.700  4390.   -0.88  4.68  0.630    0.000   9.911   9.911   9.266   8.543   8.245   8.075   6.778   7.343   7.048   6.737   6.421   6.309   6.200   6.255   6.068   6.096   7.150   7.808   6.362  
 0.800  4824.   -0.61  4.64  0.711    0.004   8.346   8.346   7.987   7.417   7.177   6.983   5.950   6.421   6.184   5.924   5.692   5.601   5.516   5.560   5.415   5.429   6.314   6.827   5.644  
 0.900  5207.   -0.37  4.58  0.804    0.082   7.140   7.140   6.998   6.542   6.356   6.131   5.296   5.698   5.501   5.276   5.079   5.000   4.927   4.968   4.852   4.855   5.630   6.057   5.041  
 1.000  5567.   -0.15  4.52  0.907    0.307   6.146   6.146   6.169   5.804   5.659   5.435   4.728   5.082   4.911   4.712   4.539   4.472   4.404   4.443   4.352   4.347   5.035   5.397   4.510  
 1.100  5895.    0.06  4.46  1.024    0.574   5.337   5.337   5.456   5.161   5.045   4.837   4.218   4.533   4.384   4.205   4.051   3.992   3.930   3.968   3.897   3.884   4.501   4.814   4.028  
 1.200  6177.    0.24  4.39  1.158    0.770   4.675   4.675   4.841   4.598   4.502   4.315   3.764   4.046   3.913   3.751   3.613   3.560   3.504   3.539   3.483   3.464   4.022   4.297   3.595  
 1.300  6456.    0.42  4.33  1.291    0.880   4.115   4.115   4.289   4.089   4.009   3.844   3.355   3.606   3.488   3.344   3.220   3.173   3.124   3.157   3.114   3.090   3.591   3.830   3.207  
 1.400  6766.    0.57  4.29  1.405    0.938   3.635   3.635   3.792   3.627   3.561   3.419   2.998   3.213   3.112   2.986   2.879   2.839   2.798   2.827   2.798   2.771   3.205   3.408   2.870  
----------------------------------------------------------------------------------------------------------------------------------------
t (Gyr) =   0.3000
M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0        F33        F33B         F41        F45B         F47         F51         FHa         F57        F63B         F67         F75         F78         F82        F82B         F89       G_RSV           G        G_BP        G_RP
 0.030  1320.   -4.48  4.83  0.110    1.000  28.794  28.794  27.021  25.363  24.609  25.644  21.755  25.766  22.058  21.109  20.762  20.144  18.155  17.977  16.443  16.995  19.480  24.851  17.765  
 0.040  1667.   -4.09  4.97  0.108    1.000  27.847  27.847  26.007  24.029  23.884  22.939  19.204  22.288  19.748  18.864  18.102  17.917  16.879  17.041  16.035  16.332  18.608  22.006  17.057  
 0.050  2063.   -3.72  5.07  0.109    0.970  26.918  26.918  25.202  23.143  22.918  22.120  18.389  21.090  18.950  18.086  17.063  16.839  15.547  15.719  14.478  15.245  17.242  21.001  15.611  
 0.060  2331.   -3.48  5.12  0.112    0.084  23.052  23.052  23.590  21.587  21.303  20.675  17.462  19.684  17.963  17.120  15.545  15.482  14.109  14.356  13.191  13.994  15.966  19.837  14.343  
 0.070  2519.   -3.31  5.15  0.117    0.000  22.749  22.749  22.029  20.010  19.698  19.142  16.661  18.479  17.101  16.291  14.350  14.439  13.244  13.513  12.533  13.178  15.194  18.775  13.619  
 0.072  2552.   -3.28  5.15  0.118    0.000  22.386  22.386  21.705  19.783  19.459  18.947  16.507  18.277  16.937  16.133  14.161  14.259  13.106  13.371  12.421  13.037  15.061  18.589  13.493  
 0.075  2594.   -3.24  5.16  0.119    0.000  21.915  21.915  21.285  19.491  19.151  18.699  16.307  18.014  16.723  15.927  13.914  14.024  12.926  13.185  12.276  12.851  14.886  18.346  13.329  
 0.080  2660.   -3.17  5.16  0.122    0.000  21.147  21.147  20.508  18.796  18.492  17.968  15.887  17.471  16.267  15.495  13.493  13.640  12.641  12.874  12.023  12.542  14.577  17.798  13.045  
 0.090  2782.   -3.04  5.17  0.129    0.000  19.751  19.751  19.072  17.605  17.328  16.795  15.031  16.398  15.416  14.714  12.818  12.928  12.112  12.322  11.603  11.986  14.017  16.747  12.542  
 0.100  2874.   -2.94  5.17  0.137    0.000  19.005  19.005  18.332  17.067  16.763  16.363  14.478  15.796  14.885  14.209  12.409  12.476  11.748  11.948  11.293  11.612  13.635  16.178  12.188  
 0.110  2946.   -2.85  5.16  0.144    0.000  18.403  18.403  17.737  16.578  16.266  15.927  14.039  15.311  14.451  13.798  12.071  12.116  11.448  11.638  11.025  11.304  13.311  15.701  11.887  
 0.130  3055.   -2.69  5.14  0.161    0.000  17.324  17.324  16.439  15.479  15.222  14.838  13.232  14.321  13.624  13.046  11.500  11.507  10.953  11.119  10.584  10.796  12.731  14.714  11.377  
 0.150  3134.   -2.56  5.11  0.178    0.000  16.570  16.570  15.534  14.691  14.476  14.042  12.620  13.581  12.994  12.472  11.076  11.053  10.579  10.727  10.243  10.413  12.281  13.982  10.984  
 0.170  3192.   -2.45  5.09  0.194    0.000  16.071  16.071  15.072  14.249  14.035  13.606  12.190  13.116  12.562  12.061  10.750  10.710  10.277  10.416   9.960  10.109  11.938  13.529  10.672  
 0.200  3261.   -2.32  5.06  0.218    0.000  15.500  15.500  14.536  13.727  13.511  13.094  11.692  12.581  12.060  11.578  10.352  10.298   9.902  10.033   9.603   9.735  11.518  13.003  10.284  
 0.300  3415.   -1.99  4.99  0.290    0.000  14.266  14.266  13.365  12.579  12.359  11.959  10.585  11.398  10.937  10.495   9.444   9.363   9.040   9.153   8.777   8.876  10.554  11.841   9.392  
 0.400  3528.   -1.73  4.92  0.364    0.000  13.397  13.397  12.519  11.733  11.504  11.123   9.775  10.537  10.112   9.695   8.753   8.662   8.379   8.483   8.138   8.222   9.822  10.991   8.710  
 0.500  3689.   -1.46  4.82  0.455    0.000  12.447  12.447  11.584  10.778  10.531  10.177   8.861   9.552   9.174   8.791   8.002   7.897   7.667   7.757   7.456   7.520   9.002  10.024   7.964  
 0.600  3971.   -1.17  4.74  0.550    0.000  11.369  11.369  10.535   9.695   9.418   9.111   7.847   8.445   8.123   7.785   7.218   7.103   6.938   7.010   6.765   6.808   8.098   8.933   7.176  
 0.700  4388.   -0.88  4.68  0.632    0.000   9.909   9.909   9.263   8.540   8.242   8.072   6.774   7.339   7.044   6.733   6.416   6.304   6.195   6.250   6.063   6.091   7.145   7.804   6.357  
 0.800  4822.   -0.61  4.63  0.713    0.004   8.344   8.344   7.985   7.414   7.174   6.980   5.946   6.418   6.181   5.921   5.689   5.597   5.512   5.556   5.411   5.425   6.310   6.824   5.640  
 0.900  5209.   -0.37  4.58  0.806    0.081   7.129   7.129   6.989   6.533   6.347   6.122   5.288   5.690   5.493   5.269   5.071   4.993   4.920   4.960   4.845   4.847   5.622   6.048   5.034  
 1.000  5572.   -0.14  4.52  0.909    0.307   6.133   6.133   6.157   5.794   5.649   5.425   4.719   5.073   4.902   4.704   4.531   4.463   4.396   4.435   4.344   4.339   5.026   5.388   4.502  
 1.100  5898.    0.06  4.46  1.027    0.574   5.324   5.324   5.444   5.150   5.034   4.826   4.208   4.522   4.373   4.195   4.041   3.982   3.920   3.958   3.887   3.875   4.490   4.803   4.018  
 1.200  6179.    0.25  4.39  1.164    0.770   4.662   4.662   4.828   4.585   4.489   4.303   3.752   4.034   3.901   3.739   3.601   3.548   3.493   3.528   3.472   3.453   4.010   4.285   3.583  
 1.300  6456.    0.42  4.32  1.300    0.880   4.103   4.103   4.276   4.076   3.996   3.831   3.342   3.593   3.475   3.330   3.207   3.160   3.111   3.144   3.101   3.077   3.578   3.817   3.194  
 1.400  6761.    0.58  4.28  1.417    0.938   3.622   3.622   3.778   3.612   3.547   3.404   2.982   3.198   3.096   2.970   2.863   2.823   2.781   2.811   2.781   2.754   3.190   3.393   2.854  
----------------------------------------------------------------------------------------------------------------------------------------
t (Gyr) =   0.4000
M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0        F33        F33B         F41        F45B         F47         F51         FHa         F57        F63B         F67         F75         F78         F82        F82B         F89       G_RSV           G        G_BP        G_RP
