BHAC15 models

L/Ls: log L/Lsun
g: log g
R/Rs : R/Rsun
Li/Li0: ratio of surface lithium abundance to initial abundance

!  Zero-point corrections to standard system
!  are obtained from observed Vega spectra:
!  Bohlin 2007, ASP Conf. Series, ed. C. Sterken
!  (apparent Vega mag is assumed NULL in each bandpass)

! V,R,I Cousin (Bessell 90)
! + JHK CIT (Elias 82)
! + L,LL(L'),M Johnson-Glass(Bessell 88)


!  t (Gyr) =   0.0005
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
!-----------------------------------------------------------------------------------------------
 1.400  6742.    0.59  4.26  1.444    0.938   3.25   3.00   2.78   2.51   2.35   2.32   2.32   2.31   2.31
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   0.6250
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
!-----------------------------------------------------------------------------------------------
 0.050  1555.   -4.29  5.14  0.099    0.938  23.39  19.70  17.46  14.15  12.93  12.01  11.03  10.65  11.29
 0.060  1908.   -3.94  5.23  0.098    0.000  21.99  18.73  16.41  12.58  11.80  11.34  10.60  10.24  10.97
 0.070  2248.   -3.63  5.28  0.101    0.000  20.87  17.65  15.09  11.68  11.12  10.80  10.24   9.92  10.55
 0.072  2301.   -3.58  5.28  0.102    0.000  20.41  17.27  14.69  11.43  10.94  10.65  10.15   9.83  10.46
 0.075  2370.   -3.52  5.28  0.103    0.000  19.99  16.97  14.41  11.32  10.80  10.50  10.04   9.74  10.32
 0.080  2485.   -3.41  5.28  0.107    0.000  19.06  16.38  13.88  11.09  10.55  10.25   9.85   9.56  10.04
 0.090  2671.   -3.21  5.27  0.115    0.000  17.71  15.31  12.97  10.64  10.13   9.82   9.48   9.24   9.53
 0.100  2817.   -3.05  5.24  0.126    0.000  16.42  14.47  12.29  10.29   9.76   9.46   9.15   8.94   9.14
 0.110  2917.   -2.92  5.21  0.136    0.000  15.78  13.93  11.85  10.00   9.47   9.18   8.90   8.70   8.87
 0.130  3045.   -2.73  5.17  0.156    0.000  14.63  13.12  11.22   9.56   9.03   8.75   8.50   8.31   8.45
 0.150  3130.   -2.58  5.13  0.174    0.000  13.76  12.52  10.77   9.24   8.71   8.43   8.19   8.02   8.12
 0.170  3191.   -2.46  5.10  0.192    0.000  13.28  12.10  10.44   8.98   8.44   8.17   7.93   7.77   7.86
 0.200  3260.   -2.32  5.07  0.217    0.000  12.74  11.62  10.04   8.64   8.10   7.84   7.62   7.46   7.55
 0.300  3415.   -1.99  4.99  0.290    0.000  11.56  10.55   9.15   7.87   7.31   7.07   6.87   6.74   6.81
 0.400  3522.   -1.72  4.91  0.369    0.000  10.70   9.76   8.45   7.24   6.68   6.45   6.27   6.15   6.22
 0.500  3681.   -1.46  4.81  0.458    0.000   9.75   8.89   7.75   6.63   6.04   5.83   5.67   5.58   5.67
 0.600  3969.   -1.17  4.73  0.552    0.000   8.65   7.88   7.00   6.00   5.37   5.20   5.09   5.05   5.15
 0.700  4385.   -0.87  4.68  0.635    0.000   7.57   6.84   6.24   5.38   4.77   4.67   4.61   4.60   4.71
 0.800  4821.   -0.60  4.63  0.716    0.003   6.60   6.01   5.54   4.84   4.35   4.27   4.23   4.22   4.30
 0.900  5213.   -0.36  4.57  0.811    0.080   5.82   5.34   4.94   4.35   3.95   3.90   3.86   3.86   3.92
 1.000  5580.   -0.14  4.51  0.916    0.307   5.17   4.76   4.41   3.92   3.59   3.54   3.52   3.52   3.56
 1.100  5907.    0.07  4.44  1.040    0.574   4.60   4.24   3.92   3.51   3.23   3.19   3.18   3.17   3.20
 1.200  6183.    0.26  4.37  1.183    0.770   4.09   3.77   3.49   3.13   2.89   2.85   2.84   2.84   2.86
 1.300  6446.    0.44  4.31  1.327    0.880   3.64   3.35   3.10   2.79   2.59   2.56   2.55   2.55   2.55
 1.400  6727.    0.59  4.25  1.462    0.938   3.23   2.98   2.76   2.49   2.32   2.30   2.29   2.29   2.29
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   0.8000
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
!-----------------------------------------------------------------------------------------------
 0.060  1716.   -4.15  5.25  0.096    0.000  22.56  19.14  16.94  13.60  12.51  11.68  10.79  10.46  11.13
 0.070  2136.   -3.75  5.31  0.097    0.000  21.49  18.16  15.63  11.97  11.37  11.08  10.45  10.10  10.83
 0.072  2212.   -3.69  5.31  0.098    0.000  21.24  17.94  15.40  11.90  11.29  10.96  10.36  10.03  10.69
 0.075  2294.   -3.61  5.32  0.100    0.000  20.54  17.35  14.77  11.50  11.01  10.72  10.21   9.89  10.54
 0.080  2436.   -3.47  5.31  0.104    0.000  19.52  16.68  14.14  11.23  10.69  10.39   9.96   9.67  10.21
 0.090  2656.   -3.24  5.28  0.114    0.000  17.87  15.43  13.07  10.70  10.18   9.87   9.53   9.28   9.59
 0.100  2812.   -3.06  5.25  0.125    0.000  16.47  14.51  12.32  10.31   9.78   9.48   9.17   8.95   9.16
 0.110  2915.   -2.92  5.22  0.135    0.000  15.80  13.94  11.86  10.01   9.48   9.19   8.90   8.70   8.88
 0.130  3045.   -2.73  5.17  0.156    0.000  14.63  13.12  11.22   9.56   9.03   8.75   8.50   8.32   8.45
 0.150  3130.   -2.58  5.13  0.174    0.000  13.76  12.52  10.78   9.24   8.71   8.43   8.19   8.02   8.12
 0.170  3191.   -2.46  5.10  0.192    0.000  13.28  12.10  10.44   8.98   8.44   8.17   7.93   7.77   7.86
 0.200  3260.   -2.32  5.07  0.217    0.000  12.74  11.62  10.04   8.64   8.10   7.84   7.62   7.46   7.55
 0.300  3415.   -1.99  4.99  0.290    0.000  11.56  10.55   9.14   7.87   7.31   7.07   6.87   6.74   6.81
 0.400  3521.   -1.72  4.90  0.371    0.000  10.70   9.75   8.45   7.24   6.67   6.44   6.26   6.14   6.21
 0.500  3680.   -1.46  4.81  0.459    0.000   9.75   8.88   7.74   6.63   6.03   5.82   5.67   5.58   5.66
 0.600  3968.   -1.17  4.73  0.553    0.000   8.65   7.88   6.99   6.00   5.36   5.20   5.09   5.04   5.14
 0.700  4386.   -0.87  4.68  0.636    0.000   7.57   6.84   6.23   5.38   4.77   4.67   4.61   4.59   4.70
 0.800  4823.   -0.60  4.63  0.718    0.003   6.59   6.00   5.54   4.83   4.34   4.26   4.22   4.21   4.30
 0.900  5216.   -0.36  4.57  0.813    0.079   5.81   5.33   4.93   4.35   3.95   3.89   3.86   3.85   3.91
 1.000  5586.   -0.13  4.51  0.920    0.306   5.16   4.75   4.40   3.91   3.58   3.53   3.51   3.51   3.55
 1.100  5910.    0.08  4.44  1.046    0.574   4.58   4.22   3.91   3.49   3.22   3.18   3.17   3.16   3.19
 1.200  6184.    0.27  4.36  1.193    0.770   4.07   3.75   3.47   3.11   2.87   2.84   2.83   2.82   2.84
 1.300  6442.    0.45  4.29  1.345    0.880   3.62   3.33   3.07   2.76   2.56   2.53   2.52   2.52   2.52
 1.400  6705.    0.61  4.24  1.491    0.938   3.20   2.95   2.73   2.45   2.28   2.26   2.25   2.25   2.25
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   1.0000
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
!-----------------------------------------------------------------------------------------------
 0.060  1584.   -4.30  5.27  0.094    0.000  23.41  19.73  17.48  14.19  12.99  12.07  11.12  10.77  11.35
 0.070  2047.   -3.85  5.33  0.094    0.000  21.78  18.42  15.96  12.24  11.59  11.26  10.58  10.22  10.96
 0.072  2109.   -3.79  5.34  0.095    0.000  21.60  18.25  15.72  12.01  11.43  11.16  10.52  10.15  10.93
 0.075  2243.   -3.67  5.34  0.097    0.000  21.01  17.74  15.19  11.77  11.21  10.90  10.33  10.00  10.67
 0.080  2400.   -3.51  5.33  0.102    0.000  19.87  16.89  14.33  11.32  10.78  10.49  10.04   9.74  10.33
 0.090  2648.   -3.25  5.29  0.113    0.000  17.96  15.49  13.11  10.73  10.21   9.90   9.55   9.30   9.62
 0.100  2810.   -3.06  5.25  0.124    0.000  16.48  14.52  12.33  10.32   9.79   9.48   9.17   8.96   9.17
 0.110  2915.   -2.92  5.22  0.135    0.000  15.80  13.94  11.86  10.01   9.48   9.19   8.91   8.71   8.88
 0.130  3045.   -2.73  5.17  0.156    0.000  14.63  13.12  11.22   9.56   9.03   8.75   8.50   8.32   8.45
 0.150  3130.   -2.58  5.13  0.174    0.000  13.76  12.52  10.78   9.24   8.71   8.43   8.19   8.02   8.12
 0.170  3191.   -2.46  5.10  0.192    0.000  13.28  12.10  10.44   8.98   8.44   8.17   7.93   7.77   7.86
 0.200  3261.   -2.32  5.07  0.217    0.000  12.74  11.62  10.04   8.64   8.10   7.84   7.62   7.46   7.55
 0.300  3415.   -1.99  4.99  0.291    0.000  11.56  10.55   9.14   7.86   7.31   7.07   6.87   6.74   6.81
 0.400  3520.   -1.72  4.90  0.372    0.000  10.69   9.75   8.44   7.23   6.66   6.43   6.25   6.14   6.21
 0.500  3680.   -1.46  4.81  0.460    0.000   9.75   8.88   7.74   6.62   6.03   5.82   5.66   5.58   5.66
 0.600  3967.   -1.16  4.73  0.554    0.000   8.65   7.87   6.99   5.99   5.36   5.20   5.09   5.04   5.14
 0.700  4387.   -0.87  4.67  0.637    0.000   7.56   6.83   6.23   5.37   4.76   4.66   4.60   4.59   4.70
 0.800  4826.   -0.60  4.63  0.719    0.002   6.58   6.00   5.53   4.82   4.34   4.26   4.22   4.21   4.29
 0.900  5220.   -0.35  4.57  0.816    0.078   5.80   5.32   4.92   4.34   3.94   3.88   3.85   3.85   3.91
 1.000  5592.   -0.13  4.51  0.923    0.306   5.14   4.74   4.39   3.90   3.57   3.52   3.50   3.50   3.54
 1.100  5916.    0.09  4.43  1.054    0.574   4.56   4.20   3.89   3.48   3.20   3.16   3.15   3.14   3.17
 1.200  6187.    0.28  4.36  1.204    0.770   4.05   3.73   3.45   3.09   2.85   2.82   2.81   2.80   2.82
 1.300  6438.    0.46  4.28  1.363    0.880   3.59   3.30   3.05   2.73   2.53   2.50   2.49   2.49   2.49
 1.400  6684.    0.62  4.22  1.521    0.938   3.17   2.91   2.69   2.42   2.24   2.22   2.21   2.21   2.21
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   2.0000
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
!-----------------------------------------------------------------------------------------------
 0.070  1720.   -4.19  5.37  0.091    0.000  22.70  19.18  16.93  13.64  12.60  11.81  10.96  10.62  11.28
 0.072  1811.   -4.09  5.38  0.091    0.000  22.40  18.93  16.61  13.11  12.26  11.66  10.85  10.51  11.21
 0.075  2083.   -3.84  5.38  0.093    0.000  21.74  18.35  15.83  12.12  11.53  11.26  10.59  10.23  11.02
 0.080  2348.   -3.57  5.35  0.099    0.000  20.23  17.13  14.56  11.43  10.92  10.64  10.16   9.85  10.48
 0.090  2643.   -3.25  5.29  0.113    0.000  18.01  15.53  13.14  10.74  10.22   9.91   9.56   9.32   9.63
 0.100  2810.   -3.06  5.25  0.124    0.000  16.48  14.52  12.34  10.32   9.79   9.48   9.17   8.96   9.17
 0.110  2915.   -2.92  5.22  0.135    0.000  15.80  13.94  11.86  10.01   9.48   9.19   8.91   8.71   8.88
 0.130  3045.   -2.73  5.17  0.156    0.000  14.63  13.12  11.22   9.56   9.03   8.75   8.50   8.32   8.45
 0.150  3130.   -2.58  5.13  0.174    0.000  13.76  12.52  10.77   9.24   8.71   8.43   8.19   8.02   8.12
 0.170  3191.   -2.46  5.10  0.192    0.000  13.28  12.10  10.44   8.98   8.44   8.17   7.93   7.77   7.86
 0.200  3261.   -2.32  5.07  0.217    0.000  12.73  11.62  10.04   8.64   8.10   7.84   7.61   7.46   7.55
 0.300  3415.   -1.98  4.98  0.293    0.000  11.54  10.53   9.13   7.85   7.29   7.05   6.85   6.72   6.79
 0.400  3519.   -1.71  4.89  0.374    0.000  10.68   9.74   8.43   7.22   6.65   6.42   6.24   6.12   6.19
 0.500  3679.   -1.45  4.81  0.462    0.000   9.74   8.87   7.73   6.61   6.02   5.81   5.65   5.57   5.65
 0.600  3969.   -1.16  4.72  0.557    0.000   8.63   7.86   6.98   5.98   5.35   5.19   5.07   5.03   5.13
 0.700  4396.   -0.86  4.67  0.640    0.000   7.54   6.80   6.21   5.35   4.75   4.65   4.59   4.57   4.68
 0.800  4842.   -0.59  4.62  0.725    0.001   6.54   5.96   5.50   4.80   4.31   4.24   4.19   4.19   4.27
 0.900  5244.   -0.33  4.56  0.827    0.073   5.75   5.27   4.88   4.30   3.91   3.85   3.82   3.81   3.87
 1.000  5627.   -0.10  4.49  0.944    0.306   5.06   4.66   4.31   3.83   3.51   3.47   3.45   3.44   3.48
 1.100  5945.    0.13  4.40  1.093    0.574   4.46   4.10   3.79   3.39   3.12   3.08   3.06   3.06   3.09
 1.200  6202.    0.33  4.31  1.274    0.770   3.92   3.60   3.32   2.96   2.73   2.69   2.68   2.68   2.69
 1.300  6403.    0.52  4.21  1.481    0.880   3.43   3.14   2.89   2.56   2.36   2.33   2.32   2.32   2.32
 1.400  6464.    0.68  4.10  1.751    0.938   3.02   2.74   2.49   2.18   1.98   1.95   1.95   1.94   1.94
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   3.0000
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
!-----------------------------------------------------------------------------------------------
 0.070  1650.   -4.27  5.38  0.090    0.000  23.38  19.67  17.38  14.00  12.88  12.04  11.15  10.74  11.45
 0.072  1793.   -4.11  5.38  0.091    0.000  22.45  18.97  16.67  13.21  12.33  11.69  10.88  10.54  11.22
 0.075  2052.   -3.87  5.39  0.092    0.000  21.85  18.43  15.96  12.26  11.63  11.32  10.64  10.28  11.04
 0.080  2343.   -3.58  5.35  0.099    0.000  20.27  17.16  14.58  11.44  10.93  10.65  10.17   9.86  10.50
 0.090  2644.   -3.25  5.29  0.113    0.000  18.00  15.52  13.14  10.74  10.22   9.91   9.56   9.31   9.63
 0.100  2810.   -3.06  5.25  0.124    0.000  16.48  14.52  12.33  10.32   9.79   9.48   9.17   8.96   9.17
 0.110  2915.   -2.92  5.22  0.135    0.000  15.80  13.94  11.86  10.01   9.48   9.19   8.91   8.71   8.88
 0.130  3046.   -2.73  5.17  0.156    0.000  14.63  13.12  11.22   9.56   9.03   8.75   8.50   8.31   8.45
 0.150  3131.   -2.58  5.13  0.174    0.000  13.76  12.52  10.77   9.24   8.71   8.43   8.18   8.02   8.12
 0.170  3191.   -2.46  5.10  0.192    0.000  13.28  12.10  10.44   8.97   8.44   8.17   7.93   7.77   7.86
 0.200  3261.   -2.32  5.07  0.217    0.000  12.73  11.61  10.04   8.64   8.09   7.83   7.61   7.46   7.54
 0.300  3416.   -1.97  4.97  0.295    0.000  11.52  10.52   9.11   7.83   7.28   7.03   6.83   6.70   6.77
 0.400  3520.   -1.71  4.89  0.375    0.000  10.67   9.73   8.42   7.21   6.64   6.41   6.23   6.12   6.19
 0.500  3679.   -1.45  4.80  0.464    0.000   9.73   8.86   7.72   6.60   6.01   5.80   5.64   5.56   5.64
 0.600  3974.   -1.15  4.72  0.559    0.000   8.62   7.84   6.96   5.97   5.34   5.17   5.06   5.02   5.12
 0.700  4407.   -0.85  4.67  0.643    0.000   7.51   6.78   6.19   5.34   4.73   4.63   4.57   4.56   4.67
 0.800  4859.   -0.57  4.61  0.731    0.001   6.50   5.93   5.47   4.77   4.29   4.22   4.17   4.17   4.25
 0.900  5270.   -0.31  4.55  0.838    0.070   5.69   5.22   4.83   4.25   3.87   3.81   3.78   3.78   3.83
 1.000  5661.   -0.06  4.47  0.966    0.306   4.98   4.58   4.24   3.77   3.45   3.41   3.39   3.38   3.42
 1.100  5974.    0.17  4.36  1.143    0.574   4.34   3.99   3.68   3.28   3.01   2.97   2.96   2.96   2.98
 1.200  6191.    0.39  4.25  1.366    0.770   3.77   3.45   3.17   2.81   2.58   2.54   2.53   2.53   2.54
 1.300  6177.    0.56  4.11  1.671    0.880   3.34   3.02   2.74   2.38   2.14   2.11   2.10   2.10   2.11
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   4.0000
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
!-----------------------------------------------------------------------------------------------
 0.070  1631.   -4.29  5.38  0.090    0.000  23.42  19.71  17.43  14.08  12.94  12.08  11.17  10.79  11.44
 0.072  1790.   -4.12  5.38  0.091    0.000  22.46  18.98  16.68  13.23  12.34  11.70  10.88  10.54  11.23
 0.075  2041.   -3.88  5.39  0.092    0.000  21.88  18.46  16.00  12.31  11.67  11.34  10.65  10.30  11.05
 0.080  2343.   -3.58  5.35  0.099    0.000  20.27  17.16  14.58  11.44  10.93  10.65  10.17   9.86  10.50
 0.090  2644.   -3.25  5.29  0.113    0.000  18.00  15.52  13.14  10.74  10.22   9.91   9.56   9.31   9.63
 0.100  2811.   -3.06  5.25  0.124    0.000  16.48  14.52  12.33  10.32   9.79   9.48   9.17   8.96   9.17
 0.110  2916.   -2.92  5.22  0.135    0.000  15.80  13.94  11.86  10.01   9.48   9.19   8.91   8.71   8.88
 0.130  3046.   -2.73  5.17  0.156    0.000  14.62  13.11  11.22   9.56   9.03   8.75   8.50   8.31   8.45
 0.150  3131.   -2.58  5.13  0.174    0.000  13.76  12.51  10.77   9.24   8.71   8.43   8.18   8.02   8.12
 0.170  3192.   -2.46  5.10  0.192    0.000  13.27  12.10  10.44   8.97   8.43   8.17   7.93   7.77   7.86
 0.200  3262.   -2.32  5.06  0.217    0.000  12.73  11.61  10.03   8.63   8.09   7.83   7.61   7.46   7.54
 0.300  3416.   -1.97  4.97  0.297    0.000  11.51  10.50   9.09   7.81   7.26   7.02   6.82   6.69   6.76
 0.400  3520.   -1.71  4.89  0.376    0.000  10.67   9.72   8.42   7.20   6.64   6.40   6.22   6.11   6.18
 0.500  3680.   -1.45  4.80  0.465    0.000   9.72   8.86   7.72   6.60   6.00   5.79   5.64   5.55   5.63
 0.600  3979.   -1.15  4.72  0.561    0.000   8.60   7.83   6.95   5.96   5.32   5.16   5.05   5.01   5.11
 0.700  4418.   -0.85  4.66  0.646    0.000   7.48   6.75   6.17   5.32   4.72   4.62   4.56   4.55   4.66
 0.800  4878.   -0.56  4.61  0.736    0.000   6.46   5.89   5.43   4.74   4.27   4.20   4.15   4.15   4.23
 0.900  5297.   -0.29  4.53  0.850    0.068   5.63   5.16   4.78   4.21   3.83   3.77   3.74   3.74   3.80
 1.000  5697.   -0.03  4.44  0.994    0.306   4.88   4.49   4.16   3.69   3.38   3.34   3.32   3.32   3.35
 1.100  5996.    0.23  4.32  1.204    0.574   4.20   3.86   3.55   3.16   2.89   2.86   2.84   2.84   2.86
 1.200  6053.    0.43  4.17  1.491    0.770   3.69   3.36   3.06   2.67   2.42   2.38   2.37   2.37   2.39
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   5.0000
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
!-----------------------------------------------------------------------------------------------
 0.070  1627.   -4.30  5.38  0.090    0.000  23.43  19.72  17.44  14.10  12.96  12.09  11.17  10.81  11.43
 0.072  1790.   -4.12  5.38  0.091    0.000  22.46  18.98  16.68  13.23  12.35  11.70  10.88  10.54  11.23
 0.075  2038.   -3.89  5.39  0.091    0.000  21.90  18.47  16.01  12.33  11.68  11.35  10.65  10.30  11.05
 0.080  2343.   -3.58  5.35  0.099    0.000  20.27  17.16  14.58  11.44  10.93  10.65  10.17   9.86  10.50
 0.090  2644.   -3.25  5.29  0.113    0.000  18.00  15.52  13.14  10.74  10.22   9.91   9.56   9.31   9.63
 0.100  2811.   -3.06  5.25  0.124    0.000  16.48  14.52  12.33  10.32   9.79   9.48   9.17   8.96   9.17
 0.110  2916.   -2.92  5.22  0.135    0.000  15.80  13.94  11.86  10.01   9.48   9.19   8.91   8.70   8.88
 0.130  3046.   -2.73  5.17  0.156    0.000  14.62  13.11  11.21   9.56   9.03   8.75   8.50   8.31   8.45
 0.150  3131.   -2.58  5.13  0.175    0.000  13.76  12.51  10.77   9.24   8.71   8.43   8.18   8.02   8.12
 0.170  3192.   -2.46  5.10  0.192    0.000  13.27  12.09  10.43   8.97   8.43   8.16   7.93   7.77   7.86
 0.200  3262.   -2.32  5.06  0.218    0.000  12.72  11.61  10.03   8.63   8.09   7.83   7.60   7.45   7.54
 0.300  3416.   -1.96  4.96  0.299    0.000  11.50  10.49   9.08   7.80   7.25   7.00   6.81   6.67   6.74
 0.400  3521.   -1.71  4.89  0.377    0.000  10.66   9.71   8.41   7.20   6.63   6.40   6.22   6.10   6.17
 0.500  3682.   -1.44  4.80  0.467    0.000   9.72   8.85   7.71   6.59   6.00   5.79   5.63   5.55   5.63
 0.600  3984.   -1.15  4.72  0.562    0.000   8.58   7.81   6.94   5.95   5.31   5.15   5.04   5.00   5.10
 0.700  4430.   -0.84  4.66  0.648    0.000   7.45   6.73   6.15   5.30   4.71   4.61   4.55   4.54   4.65
 0.800  4896.   -0.55  4.60  0.742    0.000   6.42   5.85   5.40   4.72   4.24   4.17   4.13   4.13   4.20
 0.900  5325.   -0.27  4.52  0.863    0.066   5.56   5.11   4.72   4.16   3.79   3.73   3.70   3.70   3.76
 1.000  5732.    0.01  4.41  1.028    0.306   4.78   4.39   4.06   3.61   3.30   3.26   3.24   3.24   3.27
 1.100  5971.    0.27  4.26  1.281    0.574   4.09   3.74   3.43   3.03   2.77   2.73   2.71   2.71   2.73
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   8.0000
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
!-----------------------------------------------------------------------------------------------
 0.070  1626.   -4.30  5.38  0.090    0.000  23.43  19.72  17.44  14.10  12.96  12.09  11.18  10.81  11.43
 0.072  1789.   -4.12  5.38  0.091    0.000  22.46  18.98  16.68  13.24  12.35  11.70  10.88  10.54  11.23
 0.075  2036.   -3.89  5.39  0.091    0.000  21.90  18.47  16.02  12.33  11.69  11.35  10.66  10.30  11.06
 0.080  2344.   -3.58  5.35  0.099    0.000  20.26  17.15  14.58  11.43  10.93  10.65  10.17   9.86  10.49
 0.090  2645.   -3.25  5.29  0.113    0.000  17.99  15.51  13.13  10.74  10.22   9.91   9.56   9.31   9.63
 0.100  2812.   -3.06  5.25  0.124    0.000  16.47  14.51  12.33  10.32   9.79   9.48   9.17   8.96   9.17
 0.110  2917.   -2.92  5.22  0.135    0.000  15.79  13.94  11.85  10.01   9.48   9.19   8.90   8.70   8.88
 0.130  3047.   -2.73  5.17  0.156    0.000  14.61  13.11  11.21   9.56   9.03   8.75   8.49   8.31   8.45
 0.150  3132.   -2.58  5.13  0.175    0.000  13.75  12.51  10.77   9.24   8.70   8.43   8.18   8.01   8.12
 0.170  3193.   -2.46  5.10  0.193    0.000  13.26  12.09  10.43   8.97   8.43   8.16   7.92   7.76   7.85
 0.200  3264.   -2.31  5.06  0.219    0.000  12.70  11.59  10.01   8.62   8.07   7.81   7.59   7.44   7.52
 0.300  3416.   -1.95  4.95  0.303    0.000  11.47  10.46   9.05   7.77   7.22   6.98   6.78   6.65   6.72
 0.400  3522.   -1.70  4.88  0.379    0.000  10.65   9.70   8.40   7.18   6.62   6.39   6.21   6.09   6.16
 0.500  3686.   -1.44  4.79  0.469    0.000   9.69   8.82   7.69   6.57   5.98   5.77   5.62   5.53   5.61
 0.600  4001.   -1.13  4.71  0.566    0.000   8.53   7.76   6.90   5.92   5.28   5.13   5.02   4.98   5.08
 0.700  4467.   -0.81  4.65  0.656    0.000   7.35   6.65   6.08   5.25   4.66   4.57   4.51   4.50   4.61
 0.800  4958.   -0.50  4.58  0.761    0.000   6.28   5.73   5.29   4.63   4.17   4.10   4.06   4.06   4.13
 0.900  5420.   -0.19  4.47  0.914    0.063   5.34   4.90   4.53   4.00   3.64   3.59   3.56   3.56   3.61
 1.000  5772.    0.15  4.29  1.186    0.306   4.43   4.05   3.72   3.28   2.98   2.94   2.92   2.92   2.95
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =  10.0000
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
!-----------------------------------------------------------------------------------------------
 0.070  1626.   -4.30  5.38  0.090    0.000  23.43  19.72  17.44  14.10  12.96  12.09  11.18  10.81  11.43
 0.072  1790.   -4.12  5.38  0.091    0.000  22.46  18.98  16.68  13.23  12.35  11.70  10.88  10.54  11.23
 0.075  2037.   -3.89  5.39  0.091    0.000  21.90  18.47  16.01  12.33  11.69  11.35  10.66  10.30  11.06
 0.080  2345.   -3.58  5.35  0.099    0.000  20.26  17.15  14.58  11.43  10.93  10.65  10.16   9.85  10.49
 0.090  2646.   -3.25  5.29  0.113    0.000  17.98  15.51  13.13  10.74  10.22   9.91   9.56   9.31   9.63
 0.100  2812.   -3.06  5.25  0.124    0.000  16.47  14.51  12.33  10.32   9.79   9.48   9.17   8.96   9.17
 0.110  2917.   -2.92  5.22  0.135    0.000  15.79  13.93  11.85  10.00   9.48   9.18   8.90   8.70   8.88
 0.130  3048.   -2.73  5.17  0.156    0.000  14.61  13.10  11.21   9.56   9.03   8.75   8.49   8.31   8.45
 0.150  3133.   -2.58  5.13  0.175    0.000  13.75  12.50  10.76   9.24   8.70   8.43   8.18   8.01   8.12
 0.170  3194.   -2.46  5.10  0.193    0.000  13.26  12.08  10.42   8.96   8.42   8.15   7.92   7.76   7.85
 0.200  3265.   -2.31  5.05  0.220    0.000  12.69  11.58  10.00   8.61   8.06   7.80   7.58   7.43   7.51
 0.300  3416.   -1.95  4.95  0.304    0.000  11.46  10.45   9.04   7.76   7.21   6.96   6.77   6.63   6.70
 0.400  3524.   -1.70  4.88  0.380    0.000  10.64   9.69   8.39   7.18   6.61   6.38   6.20   6.08   6.16
 0.500  3689.   -1.43  4.79  0.471    0.000   9.67   8.81   7.68   6.56   5.97   5.76   5.60   5.52   5.60
 0.600  4013.   -1.12  4.71  0.569    0.000   8.50   7.73   6.88   5.90   5.26   5.11   5.00   4.96   5.07
 0.700  4493.   -0.79  4.64  0.662    0.000   7.29   6.59   6.04   5.22   4.63   4.54   4.49   4.48   4.58
 0.800  5002.   -0.47  4.56  0.776    0.000   6.18   5.64   5.21   4.56   4.12   4.05   4.01   4.00   4.08
 0.900  5495.   -0.12  4.42  0.964    0.063   5.15   4.72   4.36   3.85   3.50   3.45   3.43   3.43   3.47
!-----------------------------------------------------------------------------------------------
