log(sep) DeltaG log(RUWE) sigma_log(RUWE)
 2.125  1.500 1.190433  0.22760 
 2.175  1.500 1.277946  0.22746 
 2.225  1.500 1.349139  0.22734 
 2.275  1.500 1.401075  0.22727 
 2.325  1.500 1.431618  0.22725 
 2.375  1.500 1.439562  0.22730 
 2.425  1.500 1.424701  0.22740 
 2.475  1.500 1.387829  0.22754 
 2.525  1.500 1.330679  0.22772 
 2.575  1.500 1.255801  0.22789 
 2.625  1.500 1.166391  0.22806 
 2.675  1.500 1.066088  0.22821 
 2.725  1.500 0.958750  0.22835 
 2.775  1.500 0.848238  0.22848 
 2.825  1.500 0.738209  0.22861 
 2.875  1.500 0.631938  0.22874 
 2.925  1.500 0.532184  0.22889 
 2.975  1.500 0.441100  0.22901 
 3.025  1.500 0.360186  0.22910 
 3.075  1.500 0.290296  0.22912 
 3.125  1.500 0.231676  0.22911 
 3.175  1.500 0.184040  0.22917 
 3.225  1.500 0.146664  0.22949 
 3.275  1.500 0.118498  0.23044 
 3.325  1.500 0.098277  0.23252 
 1.275  1.600 0.054789  0.25183 
 1.325  1.600 0.060058  0.24601 
 1.375  1.600 0.068391  0.24184 
 1.425  1.600 0.081320  0.23880 
 1.475  1.600 0.100505  0.23648 
 1.525  1.600 0.127621  0.23460 
 1.575  1.600 0.164231  0.23303 
 1.625  1.600 0.211631  0.23170 
 1.675  1.600 0.270715  0.23060 
 1.725  1.600 0.341827  0.22975 
 1.775  1.600 0.424659  0.22912 
 1.825  1.600 0.518177  0.22869 
 1.875  1.600 0.620592  0.22842 
 1.925  1.600 0.729391  0.22824 
 1.975  1.600 0.841424  0.22810 
 2.025  1.600 0.953043  0.22797 
 2.075  1.600 1.060290  0.22784 
 2.125  1.600 1.159113  0.22769 
 2.175  1.600 1.245604  0.22755 
 2.225  1.600 1.316240  0.22742 
 2.275  1.600 1.368095  0.22734 
 2.325  1.600 1.399024  0.22731 
 2.375  1.600 1.407795  0.22735 
 2.425  1.600 1.394156  0.22743 
 2.475  1.600 1.358845  0.22757 
 2.525  1.600 1.303527  0.22773 
 2.575  1.600 1.230676  0.22790 
 2.625  1.600 1.143412  0.22806 
 2.675  1.600 1.045296  0.22821 
 2.725  1.600 0.940120  0.22836 
 2.775  1.600 0.831682  0.22850 
 2.825  1.600 0.723589  0.22864 
 2.875  1.600 0.619078  0.22880 
 2.925  1.600 0.520885  0.22896 
 2.975  1.600 0.431152  0.22910 
 3.025  1.600 0.351379  0.22919 
 3.075  1.600 0.282431  0.22922 
 3.125  1.600 0.224573  0.22920 
 3.175  1.600 0.177544  0.22922 
 3.225  1.600 0.140649  0.22948 
 3.275  1.600 0.112867  0.23033 
 3.325  1.600 0.092961  0.23227 
 1.275  1.700 0.056376  0.25224 
 1.325  1.700 0.061053  0.24635 
 1.375  1.700 0.068561  0.24212 
 1.425  1.700 0.080409  0.23904 
 1.475  1.700 0.098238  0.23670 
 1.525  1.700 0.123719  0.23483 
 1.575  1.700 0.158414  0.23326 
 1.625  1.700 0.203639  0.23193 
 1.675  1.700 0.260314  0.23083 
 1.725  1.700 0.328828  0.22996 
 1.775  1.700 0.408931  0.22932 
 1.825  1.700 0.499653  0.22887 
 1.875  1.700 0.599282  0.22857 
 1.925  1.700 0.705388  0.22837 
 1.975  1.700 0.814905  0.22821 
 2.025  1.700 0.924266  0.22807 
 2.075  1.700 1.029586  0.22793 
 2.125  1.700 1.126878  0.22777 
 2.175  1.700 1.212283  0.22763 
 2.225  1.700 1.282309  0.22750 
 2.275  1.700 1.334044  0.22741 
 2.325  1.700 1.365335  0.22738 
 2.375  1.700 1.374925  0.22740 
 2.425  1.700 1.362520  0.22748 
 2.475  1.700 1.328797  0.22760 
 2.525  1.700 1.275354  0.22774 
 2.575  1.700 1.204588  0.22790 
 2.625  1.700 1.119539  0.22806 
 2.675  1.700 1.023691  0.22822 
 2.725  1.700 0.920763  0.22836 
 2.775  1.700 0.814488  0.22851 
 2.825  1.700 0.708422  0.22867 
 2.875  1.700 0.605761  0.22885 
 2.925  1.700 0.509215  0.22902 
 2.975  1.700 0.420912  0.22918 
 3.025  1.700 0.342353  0.22928 
 3.075  1.700 0.274412  0.22931 
 3.125  1.700 0.217373  0.22928 
 3.175  1.700 0.171000  0.22927 
 3.225  1.700 0.134625  0.22947 
 3.275  1.700 0.107258  0.23024 
 3.325  1.700 0.087691  0.23205 
 1.275  1.800 0.057893  0.25278 
 1.325  1.800 0.061972  0.24678 
 1.375  1.800 0.068648  0.24247 
 1.425  1.800 0.079404  0.23934 
 1.475  1.800 0.095865  0.23697 
 1.525  1.800 0.119691  0.23508 
 1.575  1.800 0.152447  0.23351 
 1.625  1.800 0.195465  0.23218 
 1.675  1.800 0.249692  0.23107 
 1.725  1.800 0.315561  0.23019 
 1.775  1.800 0.392878  0.22952 
 1.825  1.800 0.480740  0.22905 
 1.875  1.800 0.577515  0.22872 
 1.925  1.800 0.680854  0.22849 
 1.975  1.800 0.787777  0.22832 
 2.025  1.800 0.894802  0.22816 
 2.075  1.800 0.998120  0.22801 
 2.125  1.800 1.093809  0.22785 
 2.175  1.800 1.178066  0.22770 
 2.225  1.800 1.247430  0.22757 
 2.275  1.800 1.299005  0.22748 
 2.325  1.800 1.330635  0.22743 
 2.375  1.800 1.341035  0.22745 
 2.425  1.800 1.329869  0.22751 
 2.475  1.800 1.297759  0.22762 
 2.525  1.800 1.246229  0.22776 
 2.575  1.800 1.177600  0.22791 
 2.625  1.800 1.094829  0.22807 
 2.675  1.800 1.001323  0.22822 
 2.725  1.800 0.900722  0.22837 
 2.775  1.800 0.796695  0.22853 
 2.825  1.800 0.692741  0.22870 
 2.875  1.800 0.592014  0.22889 
 2.925  1.800 0.497197  0.22908 
 2.975  1.800 0.410401  0.22924 
 3.025  1.800 0.333125  0.22936 
 3.075  1.800 0.266254  0.22939 
 3.125  1.800 0.210089  0.22934 
 3.175  1.800 0.164417  0.22931 
 3.225  1.800 0.128601  0.22947 
 3.275  1.800 0.101680  0.23016 
 3.325  1.800 0.082475  0.23185 
 1.275  1.900 0.059338  0.25342 
 1.325  1.900 0.062815  0.24730 
 1.375  1.900 0.068654  0.24289 
 1.425  1.900 0.078312  0.23970 
 1.475  1.900 0.093395  0.23729 
 1.525  1.900 0.115552  0.23538 
 1.575  1.900 0.146351  0.23379 
 1.625  1.900 0.187134  0.23245 
 1.675  1.900 0.238881  0.23133 
 1.725  1.900 0.302064  0.23043 
 1.775  1.900 0.376546  0.22973 
 1.825  1.900 0.461493  0.22923 
 1.875  1.900 0.555349  0.22887 
 1.925  1.900 0.655853  0.22862 
 1.975  1.900 0.760111  0.22842 
 2.025  1.900 0.864727  0.22825 
 2.075  1.900 0.965971  0.22808 
 2.125  1.900 1.059992  0.22792 
 2.175  1.900 1.143039  0.22776 
 2.225  1.900 1.211691  0.22763 
 2.275  1.900 1.263067  0.22753 
 2.325  1.900 1.295007  0.22749 
 2.375  1.900 1.306206  0.22749 
 2.425  1.900 1.296285  0.22755 
 2.475  1.900 1.265805  0.22765 
 2.525  1.900 1.216221  0.22778 
 2.575  1.900 1.149775  0.22792 
 2.625  1.900 1.069342  0.22807 
 2.675  1.900 0.978243  0.22822 
 2.725  1.900 0.880043  0.22837 
 2.775  1.900 0.778343  0.22854 
 2.825  1.900 0.676581  0.22872 
 2.875  1.900 0.577869  0.22892 
 2.925  1.900 0.484856  0.22912 
 2.975  1.900 0.399640  0.22930 
 3.025  1.900 0.323715  0.22941 
 3.075  1.900 0.257974  0.22945 
 3.125  1.900 0.202735  0.22940 
 3.175  1.900 0.157809  0.22934 
 3.225  1.900 0.122589  0.22946 
 3.275  1.900 0.096143  0.23008 
 3.325  1.900 0.077323  0.23166 
 1.275  2.000 0.060712  0.25417 
 1.325  2.000 0.063585  0.24790 
 1.375  2.000 0.068585  0.24339 
 1.425  2.000 0.077142  0.24010 
 1.475  2.000 0.090840  0.23764 
 1.525  2.000 0.111319  0.23570 
 1.575  2.000 0.140144  0.23409 
 1.625  2.000 0.178675  0.23273 
 1.675  2.000 0.227913  0.23160 
 1.725  2.000 0.288376  0.23067 
 1.775  2.000 0.359981  0.22995 
 1.825  2.000 0.441963  0.22942 
 1.875  2.000 0.532846  0.22903 
 1.925  2.000 0.630453  0.22874 
 1.975  2.000 0.731981  0.22852 
 2.025  2.000 0.834119  0.22832 
 2.075  2.000 0.933224  0.22815 
 2.125  2.000 1.025512  0.22797 
 2.175  2.000 1.107292  0.22781 
 2.225  2.000 1.175180  0.22768 
 2.275  2.000 1.226318  0.22758 
 2.325  2.000 1.258542  0.22753 
 2.375  2.000 1.270526  0.22753 
 2.425  2.000 1.261848  0.22758 
 2.475  2.000 1.233013  0.22767 
 2.525  2.000 1.185404  0.22779 
 2.575  2.000 1.121182  0.22792 
 2.625  2.000 1.043137  0.22806 
 2.675  2.000 0.954507  0.22821 
 2.725  2.000 0.858776  0.22837 
 2.775  2.000 0.759474  0.22854 
 2.825  2.000 0.659979  0.22873 
 2.875  2.000 0.563355  0.22893 
 2.925  2.000 0.472220  0.22915 
 2.975  2.000 0.388652  0.22933 
 3.025  2.000 0.314141  0.22946 
 3.075  2.000 0.249586  0.22949 
 3.125  2.000 0.195323  0.22944 
 3.175  2.000 0.151188  0.22937 
 3.225  2.000 0.116599  0.22945 
 3.275  2.000 0.090657  0.23000 
 3.325  2.000 0.072244  0.23149 
 1.275  2.100 0.062015  0.25501 
 1.325  2.100 0.064285  0.24859 
 1.375  2.100 0.068446  0.24394 
 1.425  2.100 0.075900  0.24056 
 1.475  2.100 0.088212  0.23803 
 1.525  2.100 0.107006  0.23604 
 1.575  2.100 0.133850  0.23441 
 1.625  2.100 0.170112  0.23303 
 1.675  2.100 0.216822  0.23188 
 1.725  2.100 0.274537  0.23093 
 1.775  2.100 0.343230  0.23018 
 1.825  2.100 0.422205  0.22961 
 1.875  2.100 0.510065  0.22918 
 1.925  2.100 0.604721  0.22886 
 1.975  2.100 0.703458  0.22861 
 2.025  2.100 0.803059  0.22839 
 2.075  2.100 0.899961  0.22820 
 2.125  2.100 0.990458  0.22802 
 2.175  2.100 1.070914  0.22786 
 2.225  2.100 1.137991  0.22772 
 2.275  2.100 1.188850  0.22762 
 2.325  2.100 1.221330  0.22757 
 2.375  2.100 1.234082  0.22756 
 2.425  2.100 1.226645  0.22760 
 2.475  2.100 1.199464  0.22768 
 2.525  2.100 1.153852  0.22779 
 2.575  2.100 1.091888  0.22792 
 2.625  2.100 1.016277  0.22805 
 2.675  2.100 0.930170  0.22820 
 2.725  2.100 0.836970  0.22836 
 2.775  2.100 0.740132  0.22853 
 2.825  2.100 0.642972  0.22873 
 2.875  2.100 0.548506  0.22894 
 2.925  2.100 0.459316  0.22916 
 2.975  2.100 0.377460  0.22935 
 3.025  2.100 0.304422  0.22948 
 3.075  2.100 0.241108  0.22952 
 3.125  2.100 0.187869  0.22946 
 3.175  2.100 0.144564  0.22938 
 3.225  2.100 0.110641  0.22943 
 3.275  2.100 0.085231  0.22992 
 3.325  2.100 0.067247  0.23132 
 1.275  2.200 0.063246  0.25595 
 1.325  2.200 0.064915  0.24935 
 1.375  2.200 0.068240  0.24455 
 1.425  2.200 0.074595  0.24106 
 1.475  2.200 0.085521  0.23845 
 1.525  2.200 0.102632  0.23642 
 1.575  2.200 0.127490  0.23475 
 1.625  2.200 0.161474  0.23335 
 1.675  2.200 0.205641  0.23217 
 1.725  2.200 0.260587  0.23120 
 1.775  2.200 0.326340  0.23041 
 1.825  2.200 0.402273  0.22980 
 1.875  2.200 0.487069  0.22934 
 1.925  2.200 0.578724  0.22898 
 1.975  2.200 0.674620  0.22869 
 2.025  2.200 0.771627  0.22846 
 2.075  2.200 0.866269  0.22825 
 2.125  2.200 0.954917  0.22805 
 2.175  2.200 1.033998  0.22789 
 2.225  2.200 1.100217  0.22775 
 2.275  2.200 1.150758  0.22765 
 2.325  2.200 1.183464  0.22759 
 2.375  2.200 1.196965  0.22758 
 2.425  2.200 1.190761  0.22762 
 2.475  2.200 1.165240  0.22769 
 2.525  2.200 1.121642  0.22779 
 2.575  2.200 1.061966  0.22791 
 2.625  2.200 0.988827  0.22804 
 2.675  2.200 0.905291  0.22818 
 2.725  2.200 0.814676  0.22834 
 2.775  2.200 0.720362  0.22851 
 2.825  2.200 0.625599  0.22871 
 2.875  2.200 0.533354  0.22893 
 2.925  2.200 0.446171  0.22916 
 2.975  2.200 0.366087  0.22936 
 3.025  2.200 0.294579  0.22949 
 3.075  2.200 0.232556  0.22953 
 3.125  2.200 0.180385  0.22948 
 3.175  2.200 0.137950  0.22938 
 3.225  2.200 0.104726  0.22940 
 3.275  2.200 0.079874  0.22984 
 3.325  2.200 0.062339  0.23115 
 1.275  2.300 0.064407  0.25698 
 1.325  2.300 0.065480  0.25018 
 1.375  2.300 0.067974  0.24522 
 1.425  2.300 0.073235  0.24161 
 1.475  2.300 0.082781  0.23891 
 1.525  2.300 0.098211  0.23681 
 1.575  2.300 0.121084  0.23511 
 1.625  2.300 0.152788  0.23369 
 1.675  2.300 0.194404  0.23248 
 1.725  2.300 0.246567  0.23147 
 1.775  2.300 0.309359  0.23065 
 1.825  2.300 0.382223  0.23000 
 1.875  2.300 0.463918  0.22950 
 1.925  2.300 0.552533  0.22910 
 1.975  2.300 0.645540  0.22878 
 2.025  2.300 0.739903  0.22851 
 2.075  2.300 0.832234  0.22828 
 2.125  2.300 0.918981  0.22808 
 2.175  2.300 0.996637  0.22791 
 2.225  2.300 1.061951  0.22776 
 2.275  2.300 1.112136  0.22766 
 2.325  2.300 1.145036  0.22760 
 2.375  2.300 1.159266  0.22759 
 2.425  2.300 1.154284  0.22762 
 2.475  2.300 1.130424  0.22769 
 2.525  2.300 1.088853  0.22778 
 2.575  2.300 1.031487  0.22789 
 2.625  2.300 0.960854  0.22802 
 2.675  2.300 0.879930  0.22816 
 2.725  2.300 0.791948  0.22831 
 2.775  2.300 0.700210  0.22849 
 2.825  2.300 0.607901  0.22869 
 2.875  2.300 0.517934  0.22892 
 2.925  2.300 0.432815  0.22915 
 2.975  2.300 0.354558  0.22935 
 3.025  2.300 0.284631  0.22949 
 3.075  2.300 0.223947  0.22953 
 3.125  2.300 0.172887  0.22947 
 3.175  2.300 0.131358  0.22936 
 3.225  2.300 0.098863  0.22936 
 3.275  2.300 0.074595  0.22975 
 3.325  2.300 0.057529  0.23098 
 1.275  2.400 0.065499  0.25809 
 1.325  2.400 0.065980  0.25109 
 1.375  2.400 0.067651  0.24595 
 1.425  2.400 0.071828  0.24219 
 1.475  2.400 0.080004  0.23940 
 1.525  2.400 0.093761  0.23724 
 1.575  2.400 0.114654  0.23549 
 1.625  2.400 0.144081  0.23403 
 1.675  2.400 0.183144  0.23280 
 1.725  2.400 0.232517  0.23176 
 1.775  2.400 0.292335  0.23091 
 1.825  2.400 0.362107  0.23021 
 1.875  2.400 0.440676  0.22966 
 1.925  2.400 0.526217  0.22922 
 1.975  2.400 0.616295  0.22886 
 2.025  2.400 0.707970  0.22857 
 2.075  2.400 0.797942  0.22832 
 2.125  2.400 0.882741  0.22810 
 2.175  2.400 0.958924  0.22792 
 2.225  2.400 1.023291  0.22777 
 2.275  2.400 1.073080  0.22766 
 2.325  2.400 1.106143  0.22760 
 2.375  2.400 1.121077  0.22759 
 2.425  2.400 1.117305  0.22762 
 2.475  2.400 1.095102  0.22768 
 2.525  2.400 1.055565  0.22777 
 2.575  2.400 1.000525  0.22787 
 2.625  2.400 0.932424  0.22799 
 2.675  2.400 0.854146  0.22813 
 2.725  2.400 0.768838  0.22828 
 2.775  2.400 0.679723  0.22846 
 2.825  2.400 0.589918  0.22867 
 2.875  2.400 0.502280  0.22889 
 2.925  2.400 0.419277  0.22913 
 2.975  2.400 0.342897  0.22933 
 3.025  2.400 0.274598  0.22948 
 3.075  2.400 0.215297  0.22952 
 3.125  2.400 0.165388  0.22945 
 3.175  2.400 0.124800  0.22934 
 3.225  2.400 0.093063  0.22931 
 3.275  2.400 0.069403  0.22966 
 3.325  2.400 0.052825  0.23082 
 1.275  2.500 0.066522  0.25929 
 1.325  2.500 0.066420  0.25206 
 1.375  2.500 0.067279  0.24673 
 1.425  2.500 0.070382  0.24282 
 1.475  2.500 0.077200  0.23991 
 1.525  2.500 0.089297  0.23768 
 1.575  2.500 0.108223  0.23589 
 1.625  2.500 0.135381  0.23440 
 1.675  2.500 0.171895  0.23313 
 1.725  2.500 0.218477  0.23206 
 1.775  2.500 0.275314  0.23117 
 1.825  2.500 0.341983  0.23043 
 1.875  2.500 0.417404  0.22983 
 1.925  2.500 0.499844  0.22934 
 1.975  2.500 0.586961  0.22895 
 2.025  2.500 0.675909  0.22862 
 2.075  2.500 0.763482  0.22834 
 2.125  2.500 0.846288  0.22811 
 2.175  2.500 0.920955  0.22792 
 2.225  2.500 0.984331  0.22776 
 2.275  2.500 1.033687  0.22766 
 2.325  2.500 1.066881  0.22760 
 2.375  2.500 1.082494  0.22758 
 2.425  2.500 1.079914  0.22760 
 2.475  2.500 1.059361  0.22766 
 2.525  2.500 1.021858  0.22775 
 2.575  2.500 0.969156  0.22785 
 2.625  2.500 0.903606  0.22797 
 2.675  2.500 0.828002  0.22810 
 2.725  2.500 0.745402  0.22825 
 2.775  2.500 0.658949  0.22843 
 2.825  2.500 0.571691  0.22863 
 2.875  2.500 0.486428  0.22886 
 2.925  2.500 0.405587  0.22910 
 2.975  2.500 0.331130  0.22931 
 3.025  2.500 0.264503  0.22945 
 3.075  2.500 0.206625  0.22949 
 3.125  2.500 0.157903  0.22943 
 3.175  2.500 0.118287  0.22930 
 3.225  2.500 0.087336  0.22925 
 3.275  2.500 0.064305  0.22956 
 3.325  2.500 0.048232  0.23065 
 1.275  2.600 0.067477  0.26057 
 1.325  2.600 0.066802  0.25310 
 1.375  2.600 0.066861  0.24756 
 1.425  2.600 0.068907  0.24349 
 1.475  2.600 0.074383  0.24046 
 1.525  2.600 0.084837  0.23815 
 1.575  2.600 0.101811  0.23630 
 1.625  2.600 0.126714  0.23478 
 1.675  2.600 0.160690  0.23348 
 1.725  2.600 0.204487  0.23237 
 1.775  2.600 0.258343  0.23144 
 1.825  2.600 0.321903  0.23065 
 1.875  2.600 0.394165  0.23000 
 1.925  2.600 0.473483  0.22947 
 1.975  2.600 0.557612  0.22903 
 2.025  2.600 0.643802  0.22867 
 2.075  2.600 0.728938  0.22837 
 2.125  2.600 0.809713  0.22811 
 2.175  2.600 0.882823  0.22791 
 2.225  2.600 0.945169  0.22775 
 2.275  2.600 0.994054  0.22764 
 2.325  2.600 1.027345  0.22758 
 2.375  2.600 1.043610  0.22756 
 2.425  2.600 1.042202  0.22759 
 2.475  2.600 1.023285  0.22764 
 2.525  2.600 0.987814  0.22772 
 2.575  2.600 0.937454  0.22782 
 2.625  2.600 0.874469  0.22793 
 2.675  2.600 0.801559  0.22806 
 2.725  2.600 0.721696  0.22821 
 2.775  2.600 0.637938  0.22839 
 2.825  2.600 0.553264  0.22860 
 2.875  2.600 0.470415  0.22883 
 2.925  2.600 0.391776  0.22906 
 2.975  2.600 0.319282  0.22927 
 3.025  2.600 0.254366  0.22941 
 3.075  2.600 0.197947  0.22946 
 3.125  2.600 0.150445  0.22939 
 3.175  2.600 0.111831  0.22926 
 3.225  2.600 0.081692  0.22919 
 3.275  2.600 0.059311  0.22946 
 3.325  2.600 0.043760  0.23049 
 1.275  2.700 0.068365  0.26193 
 1.325  2.700 0.067128  0.25421 
 1.375  2.700 0.066403  0.24845 
 1.425  2.700 0.067409  0.24420 
 1.475  2.700 0.071564  0.24104 
 1.525  2.700 0.080396  0.23864 
 1.575  2.700 0.095440  0.23674 
 1.625  2.700 0.118107  0.23517 
 1.675  2.700 0.149562  0.23384 
 1.725  2.700 0.190587  0.23270 
 1.775  2.700 0.241470  0.23172 
 1.825  2.700 0.301921  0.23089 
 1.875  2.700 0.371018  0.23019 
 1.925  2.700 0.447203  0.22961 
 1.975  2.700 0.528325  0.22912 
 2.025  2.700 0.611731  0.22872 
 2.075  2.700 0.694399  0.22839 
 2.125  2.700 0.773107  0.22811 
 2.175  2.700 0.844623  0.22790 
 2.225  2.700 0.905901  0.22773 
 2.275  2.700 0.954278  0.22762 
 2.325  2.700 0.987632  0.22756 
 2.375  2.700 1.004520  0.22754 
 2.425  2.700 1.004261  0.22756 
 2.475  2.700 0.986964  0.22761 
 2.525  2.700 0.953515  0.22769 
 2.575  2.700 0.905497  0.22779 
 2.625  2.700 0.845083  0.22790 
 2.675  2.700 0.774882  0.22803 
 2.725  2.700 0.697775  0.22818 
 2.775  2.700 0.616738  0.22835 
 2.825  2.700 0.534677  0.22856 
 2.875  2.700 0.454277  0.22879 
 2.925  2.700 0.377875  0.22902 
 2.975  2.700 0.307378  0.22923 
 3.025  2.700 0.244207  0.22937 
 3.075  2.700 0.189280  0.22942 
 3.125  2.700 0.143029  0.22935 
 3.175  2.700 0.105444  0.22921 
 3.225  2.700 0.076139  0.22912 
 3.275  2.700 0.054428  0.22936 
 3.325  2.700 0.039414  0.23032 
 1.275  2.800 0.069187  0.26336 
 1.325  2.800 0.067403  0.25538 
 1.375  2.800 0.065910  0.24938 
 1.425  2.800 0.065897  0.24495 
 1.475  2.800 0.068754  0.24165 
 1.525  2.800 0.075991  0.23916 
 1.575  2.800 0.089129  0.23719 
 1.625  2.800 0.109587  0.23558 
 1.675  2.800 0.138544  0.23421 
 1.725  2.800 0.176816  0.23304 
 1.775  2.800 0.224741  0.23201 
 1.825  2.800 0.282091  0.23113 
 1.875  2.800 0.348024  0.23038 
 1.925  2.800 0.421070  0.22975 
 1.975  2.800 0.499172  0.22921 
 2.025  2.800 0.579775  0.22877 
 2.075  2.800 0.659950  0.22841 
 2.125  2.800 0.736561  0.22811 
 2.175  2.800 0.806448  0.22788 
 2.225  2.800 0.866622  0.22771 
 2.275  2.800 0.914455  0.22759 
 2.325  2.800 0.947838  0.22753 
 2.375  2.800 0.965318  0.22751 
 2.425  2.800 0.966180  0.22753 
 2.475  2.800 0.950484  0.22759 
 2.525  2.800 0.919043  0.22766 
 2.575  2.800 0.873360  0.22775 
 2.625  2.800 0.815518  0.22786 
 2.675  2.800 0.748033  0.22799 
 2.725  2.800 0.673695  0.22814 
 2.775  2.800 0.595399  0.22831 
 2.825  2.800 0.515976  0.22852 
 2.875  2.800 0.438049  0.22875 
 2.925  2.800 0.363914  0.22898 
 2.975  2.800 0.295445  0.22919 
 3.025  2.800 0.234050  0.22933 
 3.075  2.800 0.180643  0.22937 
 3.125  2.800 0.135669  0.22930 
 3.175  2.800 0.099137  0.22915 
 3.225  2.800 0.070687  0.22905 
 3.275  2.800 0.049664  0.22925 
 3.325  2.800 0.035199  0.23015 
 1.275  2.900 0.069944  0.26487 
 1.325  2.900 0.067628  0.25661 
 1.375  2.900 0.065387  0.25037 
 1.425  2.900 0.064379  0.24573 
 1.475  2.900 0.065966  0.24230 
 1.525  2.900 0.071636  0.23970 
 1.575  2.900 0.082900  0.23766 
 1.625  2.900 0.101179  0.23601 
 1.675  2.900 0.127666  0.23460 
 1.725  2.900 0.163211  0.23339 
 1.775  2.900 0.208199  0.23232 
 1.825  2.900 0.262465  0.23139 
 1.875  2.900 0.325243  0.23059 
 1.925  2.900 0.395151  0.22990 
 1.975  2.900 0.470228  0.22931 
 2.025  2.900 0.548014  0.22883 
 2.075  2.900 0.625675  0.22843 
 2.125  2.900 0.700162  0.22811 
 2.175  2.900 0.768390  0.22786 
 2.225  2.900 0.827427  0.22768 
 2.275  2.900 0.874681  0.22756 
 2.325  2.900 0.908058  0.22750 
 2.375  2.900 0.926097  0.22748 
 2.425  2.900 0.928053  0.22750 
 2.475  2.900 0.913931  0.22756 
 2.525  2.900 0.884480  0.22763 
 2.575  2.900 0.841120  0.22772 
 2.625  2.900 0.785843  0.22783 
 2.675  2.900 0.721075  0.22795 
 2.725  2.900 0.649514  0.22810 
 2.775  2.900 0.573971  0.22828 
 2.825  2.900 0.497202  0.22848 
 2.875  2.900 0.421771  0.22871 
 2.925  2.900 0.349925  0.22894 
 2.975  2.900 0.283509  0.22915 
 3.025  2.900 0.223914  0.22929 
 3.075  2.900 0.172053  0.22933 
 3.125  2.900 0.128379  0.22925 
 3.175  2.900 0.092921  0.22910 
 3.225  2.900 0.065345  0.22898 
 3.275  2.900 0.045025  0.22915 
 3.325  2.900 0.031124  0.22999 
 1.275  3.000 0.070639  0.26645 
 1.325  3.000 0.067806  0.25790 
 1.375  3.000 0.064840  0.25141 
 1.425  3.000 0.062864  0.24656 
 1.475  3.000 0.063210  0.24297 
 1.525  3.000 0.067346  0.24026 
 1.575  3.000 0.076772  0.23816 
 1.625  3.000 0.092907  0.23645 
 1.675  3.000 0.116960  0.23501 
 1.725  3.000 0.149810  0.23375 
 1.775  3.000 0.191888  0.23264 
 1.825  3.000 0.243093  0.23166 
 1.875  3.000 0.302732  0.23080 
 1.925  3.000 0.369511  0.23005 
 1.975  3.000 0.441562  0.22942 
 2.025  3.000 0.516524  0.22889 
 2.075  3.000 0.591657  0.22845 
 2.125  3.000 0.664000  0.22810 
 2.175  3.000 0.730541  0.22784 
 2.225  3.000 0.788409  0.22765 
 2.275  3.000 0.835050  0.22753 
 2.325  3.000 0.868387  0.22746 
 2.375  3.000 0.886951  0.22745 
 2.425  3.000 0.889967  0.22747 
 2.475  3.000 0.877393  0.22753 
 2.525  3.000 0.849908  0.22760 
 2.575  3.000 0.808852  0.22769 
 2.625  3.000 0.756129  0.22780 
 2.675  3.000 0.694072  0.22792 
 2.725  3.000 0.625288  0.22807 
 2.775  3.000 0.552503  0.22824 
 2.825  3.000 0.478399  0.22845 
 2.875  3.000 0.405477  0.22867 
 2.925  3.000 0.335938  0.22890 
 2.975  3.000 0.271595  0.22911 
 3.025  3.000 0.213820  0.22925 
 3.075  3.000 0.163526  0.22928 
 3.125  3.000 0.121173  0.22921 
 3.175  3.000 0.086808  0.22904 
 3.225  3.000 0.060122  0.22891 
 3.275  3.000 0.040518  0.22904 
 3.325  3.000 0.027191  0.22982 
 1.275  3.100 0.071271  0.26810 
 1.325  3.100 0.067941  0.25926 
 1.375  3.100 0.064273  0.25250 
 1.425  3.100 0.061357  0.24744 
 1.475  3.100 0.060498  0.24367 
 1.525  3.100 0.063137  0.24085 
 1.575  3.100 0.070764  0.23867 
 1.625  3.100 0.084796  0.23691 
 1.675  3.100 0.106456  0.23542 
 1.725  3.100 0.136649  0.23413 
 1.775  3.100 0.175852  0.23297 
 1.825  3.100 0.224024  0.23194 
 1.875  3.100 0.280547  0.23102 
 1.925  3.100 0.344212  0.23022 
 1.975  3.100 0.413246  0.22953 
 2.025  3.100 0.485382  0.22895 
 2.075  3.100 0.557978  0.22848 
 2.125  3.100 0.628158  0.22810 
 2.175  3.100 0.692990  0.22782 
 2.225  3.100 0.749660  0.22762 
 2.275  3.100 0.795655  0.22750 
 2.325  3.100 0.828916  0.22743 
 2.375  3.100 0.847970  0.22742 
 2.425  3.100 0.852013  0.22745 
 2.475  3.100 0.840954  0.22750 
 2.525  3.100 0.815407  0.22758 
 2.575  3.100 0.776632  0.22767 
 2.625  3.100 0.726445  0.22777 
 2.675  3.100 0.667086  0.22789 
 2.725  3.100 0.601072  0.22804 
 2.775  3.100 0.531044  0.22821 
 2.825  3.100 0.459610  0.22842 
 2.875  3.100 0.389206  0.22864 
 2.925  3.100 0.321986  0.22887 
 2.975  3.100 0.259729  0.22907 
 3.025  3.100 0.203792  0.22921 
 3.075  3.100 0.155080  0.22925 
 3.125  3.100 0.114064  0.22916 
 3.175  3.100 0.080807  0.22899 
 3.225  3.100 0.055026  0.22884 
 3.275  3.100 0.036151  0.22894 
 3.325  3.100 0.023407  0.22966 
 1.275  3.200 0.071842  0.26982 
