t (Gyr) =   0.0005
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.060  2488.   -3.28  5.03  0.123    0.466  10.81  10.22   9.91  
 0.070  2639.   -3.14  5.06  0.129    0.000  10.49   9.91   9.61  
 0.072  2664.   -3.11  5.06  0.131    0.000  10.44   9.86   9.55  
 0.075  2698.   -3.08  5.07  0.132    0.000  10.37   9.79   9.49  
 0.080  2756.   -3.02  5.08  0.136    0.000  10.24   9.66   9.36  
 0.090  2853.   -2.91  5.08  0.143    0.000  10.01   9.42   9.13  
 0.100  2926.   -2.83  5.08  0.151    0.000   9.81   9.23   8.95  
 0.110  2982.   -2.75  5.08  0.158    0.000   9.64   9.06   8.79  
 0.130  3076.   -2.62  5.07  0.173    0.000   9.35   8.76   8.50  
 0.150  3144.   -2.51  5.07  0.188    0.000   9.11   8.52   8.26  
 0.170  3198.   -2.41  5.05  0.203    0.000   8.89   8.30   8.04  
 0.200  3264.   -2.28  5.03  0.226    0.000   8.60   8.00   7.75  
 0.300  3414.   -1.98  4.98  0.294    0.000   7.88   7.28   7.04  
 0.400  3537.   -1.73  4.92  0.365    0.000   7.30   6.69   6.45  
 0.500  3701.   -1.46  4.82  0.453    0.000   6.69   6.04   5.82  
 0.600  3981.   -1.17  4.74  0.547    0.000   6.06   5.38   5.19  
 0.700  4390.   -0.88  4.68  0.630    0.000   5.45   4.79   4.66  
 0.800  4824.   -0.61  4.64  0.711    0.004   4.90   4.37   4.26  
 0.900  5207.   -0.37  4.58  0.804    0.082   4.42   3.98   3.89  
 1.000  5567.   -0.15  4.52  0.907    0.307   3.98   3.62   3.55  
 1.100  5895.    0.06  4.46  1.024    0.574   3.58   3.28   3.21  
 1.200  6177.    0.24  4.39  1.158    0.770   3.20   2.95   2.89  
 1.300  6456.    0.42  4.33  1.291    0.880   2.87   2.66   2.60  
 1.400  6766.    0.57  4.29  1.405    0.938   2.58   2.41   2.36  
-----------------------------------------------------------------------------------------------
  t (Gyr) =   0.3000
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.040  1667.   -4.09  4.97  0.108    1.000  13.76  12.44  11.51  
 0.050  2063.   -3.72  5.07  0.109    0.970  12.00  11.21  10.84  
 0.060  2331.   -3.48  5.12  0.112    0.084  11.25  10.65  10.35  
 0.070  2519.   -3.31  5.15  0.117    0.000  10.88  10.28   9.98  
 0.072  2552.   -3.28  5.15  0.118    0.000  10.82  10.22   9.92  
 0.075  2594.   -3.24  5.16  0.119    0.000  10.73  10.13   9.84  
 0.080  2660.   -3.17  5.16  0.122    0.000  10.58  10.00   9.70  
 0.090  2782.   -3.04  5.17  0.129    0.000  10.31   9.72   9.43  
 0.100  2874.   -2.94  5.17  0.137    0.000  10.08   9.50   9.21  
 0.110  2946.   -2.85  5.16  0.144    0.000   9.88   9.29   9.02  
 0.130  3055.   -2.69  5.14  0.161    0.000   9.52   8.94   8.67  
 0.150  3134.   -2.56  5.11  0.178    0.000   9.24   8.65   8.39  
 0.170  3192.   -2.45  5.09  0.194    0.000   8.99   8.40   8.14  
 0.200  3261.   -2.32  5.06  0.218    0.000   8.67   8.08   7.82  
 0.300  3415.   -1.99  4.99  0.290    0.000   7.91   7.31   7.07  
 0.400  3528.   -1.73  4.92  0.364    0.000   7.32   6.70   6.46  
 0.500  3689.   -1.46  4.82  0.455    0.000   6.69   6.04   5.82  
 0.600  3971.   -1.17  4.74  0.550    0.000   6.06   5.38   5.19  
 0.700  4388.   -0.88  4.68  0.632    0.000   5.44   4.78   4.65  
 0.800  4822.   -0.61  4.63  0.713    0.004   4.89   4.36   4.26  
 0.900  5209.   -0.37  4.58  0.806    0.081   4.41   3.98   3.89  
 1.000  5572.   -0.14  4.52  0.909    0.307   3.97   3.62   3.54  
 1.100  5898.    0.06  4.46  1.027    0.574   3.57   3.27   3.20  
 1.200  6179.    0.25  4.39  1.164    0.770   3.19   2.94   2.88  
 1.300  6456.    0.42  4.32  1.300    0.880   2.85   2.64   2.58  
 1.400  6761.    0.58  4.28  1.417    0.938   2.57   2.40   2.34  
-----------------------------------------------------------------------------------------------
  t (Gyr) =   0.4000
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.050  1836.   -3.96  5.10  0.104    0.957  12.86  11.81  11.24  
 0.060  2207.   -3.62  5.17  0.106    0.011  11.74  11.03  10.70  
 0.070  2419.   -3.43  5.20  0.110    0.000  11.17  10.56  10.27  
 0.072  2457.   -3.40  5.21  0.111    0.000  11.09  10.48  10.19  
 0.075  2508.   -3.35  5.21  0.112    0.000  10.99  10.38  10.09  
 0.080  2594.   -3.27  5.22  0.115    0.000  10.81  10.21   9.92  
 0.090  2726.   -3.13  5.22  0.122    0.000  10.49   9.92   9.63  
 0.100  2844.   -3.00  5.21  0.130    0.000  10.22   9.63   9.34  
 0.110  2929.   -2.89  5.19  0.139    0.000   9.98   9.39   9.11  
 0.130  3048.   -2.72  5.16  0.157    0.000   9.58   8.99   8.73  
 0.150  3131.   -2.58  5.13  0.175    0.000   9.28   8.69   8.42  
 0.170  3191.   -2.46  5.10  0.192    0.000   9.02   8.43   8.16  
 0.200  3260.   -2.32  5.07  0.217    0.000   8.68   8.09   7.84  
 0.300  3415.   -1.99  4.99  0.290    0.000   7.92   7.31   7.07  
 0.400  3526.   -1.73  4.91  0.366    0.000   7.31   6.69   6.45  
 0.500  3685.   -1.46  4.82  0.457    0.000   6.68   6.04   5.82  
 0.600  3969.   -1.17  4.73  0.551    0.000   6.06   5.38   5.19  
 0.700  4387.   -0.87  4.68  0.633    0.000   5.44   4.78   4.65  
 0.800  4821.   -0.61  4.63  0.714    0.004   4.89   4.36   4.25  
 0.900  5210.   -0.36  4.58  0.808    0.081   4.40   3.97   3.88  
 1.000  5574.   -0.14  4.52  0.911    0.307   3.97   3.61   3.54  
 1.100  5901.    0.06  4.45  1.032    0.574   3.56   3.26   3.19  
 1.200  6181.    0.25  4.38  1.171    0.770   3.18   2.93   2.86  
 1.300  6453.    0.43  4.32  1.308    0.880   2.84   2.63   2.57  
 1.400  6750.    0.58  4.27  1.430    0.938   2.55   2.38   2.32  
-----------------------------------------------------------------------------------------------
  t (Gyr) =   0.5000
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.050  1698.   -4.12  5.13  0.101    0.947  13.69  12.43  11.55  
 0.060  2082.   -3.76  5.20  0.102    0.001  12.01  11.29  10.98  
 0.070  2335.   -3.53  5.24  0.105    0.000  11.36  10.78  10.50  
 0.072  2378.   -3.49  5.25  0.106    0.000  11.30  10.69  10.41  
 0.075  2435.   -3.44  5.25  0.107    0.000  11.20  10.58  10.30  
 0.080  2539.   -3.34  5.25  0.111    0.000  10.97  10.37  10.08  
 0.090  2696.   -3.18  5.25  0.118    0.000  10.59  10.02   9.73  
 0.100  2828.   -3.03  5.23  0.127    0.000  10.29   9.70   9.41  
 0.110  2921.   -2.91  5.21  0.137    0.000  10.02   9.43   9.16  
 0.130  3046.   -2.72  5.16  0.156    0.000   9.60   9.01   8.75  
 0.150  3130.   -2.58  5.13  0.175    0.000   9.29   8.70   8.43  
 0.170  3191.   -2.46  5.10  0.192    0.000   9.02   8.43   8.17  
 0.200  3260.   -2.32  5.07  0.217    0.000   8.69   8.09   7.84  
 0.300  3415.   -1.99  4.99  0.290    0.000   7.92   7.31   7.07  
 0.400  3524.   -1.73  4.91  0.367    0.000   7.30   6.68   6.45  
 0.500  3682.   -1.46  4.82  0.457    0.000   6.68   6.04   5.82  
 0.600  3968.   -1.17  4.73  0.552    0.000   6.05   5.37   5.19  
 0.700  4386.   -0.87  4.68  0.634    0.000   5.43   4.78   4.64  
 0.800  4821.   -0.60  4.63  0.715    0.003   4.89   4.35   4.25  
 0.900  5211.   -0.36  4.57  0.810    0.080   4.40   3.97   3.88  
 1.000  5576.   -0.14  4.52  0.913    0.307   3.96   3.61   3.53  
 1.100  5904.    0.07  4.45  1.035    0.574   3.55   3.25   3.18  
 1.200  6182.    0.26  4.38  1.176    0.770   3.17   2.92   2.85  
 1.300  6451.    0.43  4.31  1.316    0.880   2.83   2.62   2.56  
 1.400  6742.    0.59  4.26  1.444    0.938   2.53   2.36   2.30  
-----------------------------------------------------------------------------------------------
  t (Gyr) =   0.6250
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.050  1555.   -4.29  5.14  0.099    0.938  14.23  12.91  12.02  
 0.060  1908.   -3.94  5.23  0.098    0.000  12.61  11.75  11.31  
 0.070  2248.   -3.63  5.28  0.101    0.000  11.70  11.07  10.77  
 0.072  2301.   -3.58  5.28  0.102    0.000  11.45  10.89  10.62  
 0.075  2370.   -3.52  5.28  0.103    0.000  11.35  10.75  10.48  
 0.080  2485.   -3.41  5.28  0.107    0.000  11.12  10.52  10.23  
 0.090  2671.   -3.21  5.27  0.115    0.000  10.68  10.10   9.81  
 0.100  2817.   -3.05  5.24  0.126    0.000  10.33   9.74   9.45  
 0.110  2917.   -2.92  5.21  0.136    0.000  10.04   9.46   9.18  
 0.130  3045.   -2.73  5.17  0.156    0.000   9.61   9.02   8.75  
 0.150  3130.   -2.58  5.13  0.174    0.000   9.29   8.70   8.43  
 0.170  3191.   -2.46  5.10  0.192    0.000   9.02   8.43   8.17  
 0.200  3260.   -2.32  5.07  0.217    0.000   8.69   8.09   7.84  
 0.300  3415.   -1.99  4.99  0.290    0.000   7.91   7.31   7.07  
 0.400  3522.   -1.72  4.91  0.369    0.000   7.29   6.68   6.44  
 0.500  3681.   -1.46  4.81  0.458    0.000   6.68   6.04   5.81  
 0.600  3969.   -1.17  4.73  0.552    0.000   6.05   5.37   5.18  
 0.700  4385.   -0.87  4.68  0.635    0.000   5.43   4.77   4.64  
 0.800  4821.   -0.60  4.63  0.716    0.003   4.88   4.35   4.24  
 0.900  5213.   -0.36  4.57  0.811    0.080   4.39   3.96   3.87  
 1.000  5580.   -0.14  4.51  0.916    0.307   3.95   3.60   3.52  
 1.100  5907.    0.07  4.44  1.040    0.574   3.54   3.24   3.18  
 1.200  6183.    0.26  4.37  1.183    0.770   3.15   2.90   2.84  
 1.300  6446.    0.44  4.31  1.327    0.880   2.81   2.60   2.54  
 1.400  6727.    0.59  4.25  1.462    0.938   2.51   2.34   2.28  
-----------------------------------------------------------------------------------------------
  t (Gyr) =   0.8000
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.060  1716.   -4.15  5.25  0.096    0.000  13.66  12.48  11.67  
 0.070  2136.   -3.75  5.31  0.097    0.000  12.00  11.32  11.04  
 0.072  2212.   -3.69  5.31  0.098    0.000  11.92  11.24  10.93  
 0.075  2294.   -3.61  5.32  0.100    0.000  11.52  10.96  10.69  
 0.080  2436.   -3.47  5.31  0.104    0.000  11.26  10.64  10.37  
 0.090  2656.   -3.24  5.28  0.114    0.000  10.73  10.15   9.87  
 0.100  2812.   -3.06  5.25  0.125    0.000  10.36   9.76   9.48  
 0.110  2915.   -2.92  5.22  0.135    0.000  10.05   9.46   9.19  
 0.130  3045.   -2.73  5.17  0.156    0.000   9.61   9.02   8.76  
 0.150  3130.   -2.58  5.13  0.174    0.000   9.29   8.70   8.44  
 0.170  3191.   -2.46  5.10  0.192    0.000   9.02   8.43   8.17  
 0.200  3260.   -2.32  5.07  0.217    0.000   8.69   8.09   7.84  
 0.300  3415.   -1.99  4.99  0.290    0.000   7.91   7.31   7.07  
 0.400  3521.   -1.72  4.90  0.371    0.000   7.28   6.67   6.43  
 0.500  3680.   -1.46  4.81  0.459    0.000   6.68   6.03   5.81  
 0.600  3968.   -1.17  4.73  0.553    0.000   6.05   5.37   5.18  
 0.700  4386.   -0.87  4.68  0.636    0.000   5.43   4.77   4.64  
 0.800  4823.   -0.60  4.63  0.718    0.003   4.88   4.35   4.24  
 0.900  5216.   -0.36  4.57  0.813    0.079   4.39   3.96   3.87  
 1.000  5586.   -0.13  4.51  0.920    0.306   3.94   3.59   3.51  
 1.100  5910.    0.08  4.44  1.046    0.574   3.52   3.23   3.16  
 1.200  6184.    0.27  4.36  1.193    0.770   3.13   2.88   2.82  
 1.300  6442.    0.45  4.29  1.345    0.880   2.78   2.57   2.51  
 1.400  6705.    0.61  4.24  1.491    0.938   2.47   2.30   2.24  
-----------------------------------------------------------------------------------------------
  t (Gyr) =   1.0000
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.060  1584.   -4.30  5.27  0.094    0.000  14.26  12.97  12.08  
 0.070  2047.   -3.85  5.33  0.094    0.000  12.27  11.54  11.22  
 0.072  2109.   -3.79  5.34  0.095    0.000  12.03  11.37  11.12  
 0.075  2243.   -3.67  5.34  0.097    0.000  11.80  11.16  10.87  
 0.080  2400.   -3.51  5.33  0.102    0.000  11.35  10.74  10.47  
 0.090  2648.   -3.25  5.29  0.113    0.000  10.76  10.18   9.89  
 0.100  2810.   -3.06  5.25  0.124    0.000  10.36   9.77   9.48  
 0.110  2915.   -2.92  5.22  0.135    0.000  10.05   9.47   9.19  
 0.130  3045.   -2.73  5.17  0.156    0.000   9.61   9.02   8.76  
 0.150  3130.   -2.58  5.13  0.174    0.000   9.29   8.70   8.44  
 0.170  3191.   -2.46  5.10  0.192    0.000   9.02   8.43   8.17  
 0.200  3261.   -2.32  5.07  0.217    0.000   8.69   8.09   7.84  
 0.300  3415.   -1.99  4.99  0.291    0.000   7.91   7.31   7.06  
 0.400  3520.   -1.72  4.90  0.372    0.000   7.28   6.66   6.42  
 0.500  3680.   -1.46  4.81  0.460    0.000   6.67   6.03   5.81  
 0.600  3967.   -1.16  4.73  0.554    0.000   6.04   5.36   5.18  
 0.700  4387.   -0.87  4.67  0.637    0.000   5.42   4.77   4.63  
 0.800  4826.   -0.60  4.63  0.719    0.002   4.87   4.34   4.23  
 0.900  5220.   -0.35  4.57  0.816    0.078   4.38   3.95   3.86  
 1.000  5592.   -0.13  4.51  0.923    0.306   3.93   3.58   3.50  
 1.100  5916.    0.09  4.43  1.054    0.574   3.51   3.21   3.15  
 1.200  6187.    0.28  4.36  1.204    0.770   3.11   2.86   2.80  
 1.300  6438.    0.46  4.28  1.363    0.880   2.75   2.54   2.48  
 1.400  6684.    0.62  4.22  1.521    0.938   2.44   2.26   2.20  
-----------------------------------------------------------------------------------------------
  t (Gyr) =   2.0000
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.070  1720.   -4.19  5.37  0.091    0.000  13.69  12.57  11.81  
 0.072  1811.   -4.09  5.38  0.091    0.000  13.15  12.22  11.64  
 0.075  2083.   -3.84  5.38  0.093    0.000  12.14  11.47  11.22  
 0.080  2348.   -3.57  5.35  0.099    0.000  11.45  10.87  10.61  
 0.090  2643.   -3.25  5.29  0.113    0.000  10.78  10.19   9.91  
 0.100  2810.   -3.06  5.25  0.124    0.000  10.36   9.77   9.48  
 0.110  2915.   -2.92  5.22  0.135    0.000  10.05   9.47   9.19  
 0.130  3045.   -2.73  5.17  0.156    0.000   9.61   9.02   8.76  
 0.150  3130.   -2.58  5.13  0.174    0.000   9.29   8.70   8.43  
 0.170  3191.   -2.46  5.10  0.192    0.000   9.02   8.43   8.17  
 0.200  3261.   -2.32  5.07  0.217    0.000   8.69   8.09   7.84  
 0.300  3415.   -1.98  4.98  0.293    0.000   7.89   7.29   7.05  
 0.400  3519.   -1.71  4.89  0.374    0.000   7.27   6.65   6.41  
 0.500  3679.   -1.45  4.81  0.462    0.000   6.66   6.02   5.79  
 0.600  3969.   -1.16  4.72  0.557    0.000   6.03   5.35   5.16  
 0.700  4396.   -0.86  4.67  0.640    0.000   5.41   4.75   4.62  
 0.800  4842.   -0.59  4.62  0.725    0.001   4.84   4.32   4.21  
 0.900  5244.   -0.33  4.56  0.827    0.073   4.34   3.91   3.83  
 1.000  5627.   -0.10  4.49  0.944    0.306   3.87   3.52   3.45  
 1.100  5945.    0.13  4.40  1.093    0.574   3.42   3.13   3.06  
 1.200  6202.    0.33  4.31  1.274    0.770   2.99   2.74   2.68  
 1.300  6403.    0.52  4.21  1.481    0.880   2.59   2.37   2.31  
 1.400  6464.    0.68  4.10  1.751    0.938   2.20   2.00   1.94  
-----------------------------------------------------------------------------------------------
  t (Gyr) =   3.0000
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.070  1650.   -4.27  5.38  0.090    0.000  14.06  12.85  12.03  
 0.072  1793.   -4.11  5.38  0.091    0.000  13.25  12.29  11.68  
 0.075  2052.   -3.87  5.39  0.092    0.000  12.29  11.58  11.29  
 0.080  2343.   -3.58  5.35  0.099    0.000  11.46  10.89  10.62  
 0.090  2644.   -3.25  5.29  0.113    0.000  10.78  10.19   9.90  
 0.100  2810.   -3.06  5.25  0.124    0.000  10.36   9.77   9.48  
 0.110  2915.   -2.92  5.22  0.135    0.000  10.05   9.47   9.19  
 0.130  3046.   -2.73  5.17  0.156    0.000   9.61   9.02   8.76  
 0.150  3131.   -2.58  5.13  0.174    0.000   9.29   8.70   8.43  
 0.170  3191.   -2.46  5.10  0.192    0.000   9.02   8.43   8.17  
 0.200  3261.   -2.32  5.07  0.217    0.000   8.68   8.09   7.83  
 0.300  3416.   -1.97  4.97  0.295    0.000   7.88   7.27   7.03  
 0.400  3520.   -1.71  4.89  0.375    0.000   7.26   6.64   6.40  
 0.500  3679.   -1.45  4.80  0.464    0.000   6.65   6.01   5.79  
 0.600  3974.   -1.15  4.72  0.559    0.000   6.02   5.34   5.15  
 0.700  4407.   -0.85  4.67  0.643    0.000   5.39   4.74   4.60  
 0.800  4859.   -0.57  4.61  0.731    0.001   4.82   4.30   4.19  
 0.900  5270.   -0.31  4.55  0.838    0.070   4.29   3.88   3.79  
 1.000  5661.   -0.06  4.47  0.966    0.306   3.80   3.46   3.39  
 1.100  5974.    0.17  4.36  1.143    0.574   3.31   3.03   2.96  
 1.200  6191.    0.39  4.25  1.366    0.770   2.84   2.59   2.53  
 1.300  6177.    0.56  4.11  1.671    0.880   2.41   2.16   2.09  
-----------------------------------------------------------------------------------------------
  t (Gyr) =   4.0000
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.070  1631.   -4.29  5.38  0.090    0.000  14.15  12.91  12.08  
 0.072  1790.   -4.12  5.38  0.091    0.000  13.27  12.30  11.68  
 0.075  2041.   -3.88  5.39  0.092    0.000  12.34  11.61  11.31  
 0.080  2343.   -3.58  5.35  0.099    0.000  11.46  10.89  10.63  
 0.090  2644.   -3.25  5.29  0.113    0.000  10.78  10.19   9.90  
 0.100  2811.   -3.06  5.25  0.124    0.000  10.36   9.77   9.48  
 0.110  2916.   -2.92  5.22  0.135    0.000  10.05   9.46   9.19  
 0.130  3046.   -2.73  5.17  0.156    0.000   9.61   9.02   8.75  
 0.150  3131.   -2.58  5.13  0.174    0.000   9.29   8.70   8.43  
 0.170  3192.   -2.46  5.10  0.192    0.000   9.02   8.43   8.17  
 0.200  3262.   -2.32  5.06  0.217    0.000   8.68   8.09   7.83  
 0.300  3416.   -1.97  4.97  0.297    0.000   7.86   7.26   7.01  
 0.400  3520.   -1.71  4.89  0.376    0.000   7.25   6.63   6.40  
 0.500  3680.   -1.45  4.80  0.465    0.000   6.65   6.00   5.78  
 0.600  3979.   -1.15  4.72  0.561    0.000   6.01   5.33   5.14  
 0.700  4418.   -0.85  4.66  0.646    0.000   5.37   4.72   4.59  
 0.800  4878.   -0.56  4.61  0.736    0.000   4.79   4.27   4.17  
 0.900  5297.   -0.29  4.53  0.850    0.068   4.25   3.84   3.75  
 1.000  5697.   -0.03  4.44  0.994    0.306   3.72   3.39   3.32  
 1.100  5996.    0.23  4.32  1.204    0.574   3.19   2.91   2.84  
 1.200  6053.    0.43  4.17  1.491    0.770   2.70   2.43   2.37  
-----------------------------------------------------------------------------------------------
  t (Gyr) =   5.0000
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.070  1627.   -4.30  5.38  0.090    0.000  14.17  12.93  12.09  
 0.072  1790.   -4.12  5.38  0.091    0.000  13.28  12.31  11.69  
 0.075  2038.   -3.89  5.39  0.091    0.000  12.36  11.63  11.32  
 0.080  2343.   -3.58  5.35  0.099    0.000  11.46  10.89  10.63  
 0.090  2644.   -3.25  5.29  0.113    0.000  10.78  10.19   9.90  
 0.100  2811.   -3.06  5.25  0.124    0.000  10.36   9.77   9.48  
 0.110  2916.   -2.92  5.22  0.135    0.000  10.05   9.46   9.19  
 0.130  3046.   -2.73  5.17  0.156    0.000   9.61   9.02   8.75  
 0.150  3131.   -2.58  5.13  0.175    0.000   9.29   8.70   8.43  
 0.170  3192.   -2.46  5.10  0.192    0.000   9.02   8.43   8.17  
 0.200  3262.   -2.32  5.06  0.218    0.000   8.68   8.08   7.83  
 0.300  3416.   -1.96  4.96  0.299    0.000   7.85   7.24   7.00  
 0.400  3521.   -1.71  4.89  0.377    0.000   7.25   6.63   6.39  
 0.500  3682.   -1.44  4.80  0.467    0.000   6.64   6.00   5.77  
 0.600  3984.   -1.15  4.72  0.562    0.000   6.00   5.31   5.13  
 0.700  4430.   -0.84  4.66  0.648    0.000   5.35   4.71   4.58  
 0.800  4896.   -0.55  4.60  0.742    0.000   4.76   4.25   4.15  
 0.900  5325.   -0.27  4.52  0.863    0.066   4.20   3.80   3.71  
 1.000  5732.    0.01  4.41  1.028    0.306   3.64   3.31   3.24  
 1.100  5971.    0.27  4.26  1.281    0.574   3.06   2.78   2.71  
-----------------------------------------------------------------------------------------------
  t (Gyr) =   8.0000
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.070  1626.   -4.30  5.38  0.090    0.000  14.17  12.93  12.09  
 0.072  1789.   -4.12  5.38  0.091    0.000  13.28  12.31  11.69  
 0.075  2036.   -3.89  5.39  0.091    0.000  12.36  11.63  11.32  
 0.080  2344.   -3.58  5.35  0.099    0.000  11.46  10.88  10.62  
 0.090  2645.   -3.25  5.29  0.113    0.000  10.77  10.19   9.90  
 0.100  2812.   -3.06  5.25  0.124    0.000  10.36   9.77   9.48  
 0.110  2917.   -2.92  5.22  0.135    0.000  10.05   9.46   9.19  
 0.130  3047.   -2.73  5.17  0.156    0.000   9.61   9.02   8.75  
 0.150  3132.   -2.58  5.13  0.175    0.000   9.28   8.69   8.43  
 0.170  3193.   -2.46  5.10  0.193    0.000   9.01   8.42   8.16  
 0.200  3264.   -2.31  5.06  0.219    0.000   8.66   8.07   7.81  
 0.300  3416.   -1.95  4.95  0.303    0.000   7.82   7.22   6.97  
 0.400  3522.   -1.70  4.88  0.379    0.000   7.23   6.61   6.38  
 0.500  3686.   -1.44  4.79  0.469    0.000   6.62   5.98   5.76  
 0.600  4001.   -1.13  4.71  0.566    0.000   5.97   5.28   5.10  
 0.700  4467.   -0.81  4.65  0.656    0.000   5.30   4.67   4.54  
 0.800  4958.   -0.50  4.58  0.761    0.000   4.67   4.18   4.08  
 0.900  5420.   -0.19  4.47  0.914    0.063   4.03   3.65   3.57  
 1.000  5772.    0.15  4.29  1.186    0.306   3.31   2.99   2.92  
-----------------------------------------------------------------------------------------------
  t (Gyr) =  10.0000
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.070  1626.   -4.30  5.38  0.090    0.000  14.17  12.93  12.09  
 0.072  1790.   -4.12  5.38  0.091    0.000  13.28  12.31  11.69  
 0.075  2037.   -3.89  5.39  0.091    0.000  12.36  11.63  11.32  
 0.080  2345.   -3.58  5.35  0.099    0.000  11.46  10.88  10.62  
 0.090  2646.   -3.25  5.29  0.113    0.000  10.77  10.19   9.90  
 0.100  2812.   -3.06  5.25  0.124    0.000  10.36   9.77   9.48  
 0.110  2917.   -2.92  5.22  0.135    0.000  10.05   9.46   9.19  
 0.130  3048.   -2.73  5.17  0.156    0.000   9.60   9.02   8.75  
 0.150  3133.   -2.58  5.13  0.175    0.000   9.28   8.69   8.43  
 0.170  3194.   -2.46  5.10  0.193    0.000   9.01   8.42   8.16  
 0.200  3265.   -2.31  5.05  0.220    0.000   8.65   8.06   7.80  
 0.300  3416.   -1.95  4.95  0.304    0.000   7.81   7.20   6.96  
 0.400  3524.   -1.70  4.88  0.380    0.000   7.23   6.61   6.37  
 0.500  3689.   -1.43  4.79  0.471    0.000   6.61   5.97   5.74  
 0.600  4013.   -1.12  4.71  0.569    0.000   5.95   5.26   5.08  
 0.700  4493.   -0.79  4.64  0.662    0.000   5.27   4.64   4.51  
 0.800  5002.   -0.47  4.56  0.776    0.000   4.60   4.12   4.02  
 0.900  5495.   -0.12  4.42  0.964    0.063   3.88   3.51   3.43  
-----------------------------------------------------------------------------------------------
